id,type,description,unit_id,title
10040107,106,"",100401,"인연 랭크 연출 6"
10040108,107,"",100401,"인연 랭크 연출 7"
10040109,202,"",100401,"★6 재능 개화 연출"
10040110,108,"",100401,"인연 랭크 연출 8"
10040111,109,"",100401,"인연 랭크 연출 9"
10040112,110,"",100401,"인연 랭크 연출 10"
10040113,111,"",100401,"인연 랭크 연출 11"
10050101,201,"",100501,"획득 연출 1"
10050102,101,"",100501,"인연 랭크 연출 1"
10050103,102,"",100501,"인연 랭크 연출 2"
10050104,103,"",100501,"인연 랭크 연출 3"
10050105,104,"",100501,"인연 랭크 연출 4"
10050106,105,"",100501,"인연 랭크 연출 5"
10050107,106,"",100501,"인연 랭크 연출 6"
10050108,107,"",100501,"인연 랭크 연출 7"
10050109,202,"",100501,"★6 재능 개화 연출"
10050110,108,"",100501,"인연 랭크 연출 8"
10050111,109,"",100501,"인연 랭크 연출 9"
10050112,110,"",100501,"인연 랭크 연출 10"
10050113,111,"",100501,"인연 랭크 연출 11"
10060101,201,"",100601,"획득 연출 1"
10060102,101,"",100601,"인연 랭크 연출 1"
10060103,102,"",100601,"인연 랭크 연출 2"
10060104,103,"",100601,"인연 랭크 연출 3"
10060105,104,"",100601,"인연 랭크 연출 4"
10060106,105,"",100601,"인연 랭크 연출 5"
10060107,106,"",100601,"인연 랭크 연출 6"
10060108,107,"",100601,"인연 랭크 연출 7"
10060109,202,"",100601,"★6 재능 개화 연출"
10060110,108,"",100601,"인연 랭크 연출 8"
10060111,109,"",100601,"인연 랭크 연출 9"
10060112,110,"",100601,"인연 랭크 연출 10"
10060113,111,"",100601,"인연 랭크 연출 11"
10070101,201,"",100701,"획득 연출 1"
10070102,101,"",100701,"인연 랭크 연출 1"
10070103,102,"",100701,"인연 랭크 연출 2"
10070104,103,"",100701,"인연 랭크 연출 3"
10070105,104,"",100701,"인연 랭크 연출 4"
10070106,105,"",100701,"인연 랭크 연출 5"
10070107,106,"",100701,"인연 랭크 연출 6"
10070108,107,"",100701,"인연 랭크 연출 7"
10070109,202,"",100701,"★6 재능 개화 연출"
10070110,108,"",100701,"인연 랭크 연출 8"
10070111,109,"",100701,"인연 랭크 연출 9"
10070112,110,"",100701,"인연 랭크 연출 10"
10070113,111,"",100701,"인연 랭크 연출 11"
10080101,201,"",100801,"획득 연출 1"
10080102,101,"",100801,"인연 랭크 연출 1"
10080103,102,"",100801,"인연 랭크 연출 2"
10080104,103,"",100801,"인연 랭크 연출 3"
10080105,104,"",100801,"인연 랭크 연출 4"
10080106,105,"",100801,"인연 랭크 연출 5"
10080107,106,"",100801,"인연 랭크 연출 6"
10080108,107,"",100801,"인연 랭크 연출 7"
10080109,202,"",100801,"★6 재능 개화 연출"
10080110,108,"",100801,"인연 랭크 연출 8"
10080111,109,"",100801,"인연 랭크 연출 9"
10080112,110,"",100801,"인연 랭크 연출 10"
10080113,111,"",100801,"인연 랭크 연출 11"
10090101,201,"",100901,"획득 연출 1"
10090102,101,"",100901,"인연 랭크 연출 1"
10090103,102,"",100901,"인연 랭크 연출 2"
10090104,103,"",100901,"인연 랭크 연출 3"
10090105,104,"",100901,"인연 랭크 연출 4"
10090106,105,"",100901,"인연 랭크 연출 5"
10090107,106,"",100901,"인연 랭크 연출 6"
10090108,107,"",100901,"인연 랭크 연출 7"
10090109,202,"",100901,"★6 재능 개화 연출"
10090110,108,"",100901,"인연 랭크 연출 8"
10090111,109,"",100901,"인연 랭크 연출 9"
10090112,110,"",100901,"인연 랭크 연출 10"
10090113,111,"",100901,"인연 랭크 연출 11"
10100101,201,"",101001,"획득 연출 1"
10100102,101,"",101001,"인연 랭크 연출 1"
10100103,102,"",101001,"인연 랭크 연출 2"
10100104,103,"",101001,"인연 랭크 연출 3"
10100105,104,"",101001,"인연 랭크 연출 4"
10100106,105,"",101001,"인연 랭크 연출 5"
10100107,106,"",101001,"인연 랭크 연출 6"
10100108,107,"",101001,"인연 랭크 연출 7"
10100109,202,"",101001,"★6 재능 개화 연출"
10100110,108,"",101001,"인연 랭크 연출 8"
10100111,109,"",101001,"인연 랭크 연출 9"
10100112,110,"",101001,"인연 랭크 연출 10"
10100113,111,"",101001,"인연 랭크 연출 11"
10110101,201,"",101101,"획득 연출 1"
10110102,101,"",101101,"인연 랭크 연출 1"
10110103,102,"",101101,"인연 랭크 연출 2"
10110104,103,"",101101,"인연 랭크 연출 3"
10110105,104,"",101101,"인연 랭크 연출 4"
10110106,105,"",101101,"인연 랭크 연출 5"
10110107,106,"",101101,"인연 랭크 연출 6"
10110108,107,"",101101,"인연 랭크 연출 7"
10110109,202,"",101101,"★6 재능 개화 연출"
10110110,108,"",101101,"인연 랭크 연출 8"
10110111,109,"",101101,"인연 랭크 연출 9"
10110112,110,"",101101,"인연 랭크 연출 10"
10110113,111,"",101101,"인연 랭크 연출 11"
10120101,201,"",101201,"획득 연출 1"
10120102,101,"",101201,"인연 랭크 연출 1"
10120103,102,"",101201,"인연 랭크 연출 2"
10120104,103,"",101201,"인연 랭크 연출 3"
10120105,104,"",101201,"인연 랭크 연출 4"
10120106,105,"",101201,"인연 랭크 연출 5"
10120107,106,"",101201,"인연 랭크 연출 6"
10120108,107,"",101201,"인연 랭크 연출 7"
10120109,202,"",101201,"★6 재능 개화 연출"
10120110,108,"",101201,"인연 랭크 연출 8"
10120111,109,"",101201,"인연 랭크 연출 9"
10120112,110,"",101201,"인연 랭크 연출 10"
10120113,111,"",101201,"인연 랭크 연출 11"
10130101,201,"",101301,"획득 연출 1"
10130102,101,"",101301,"인연 랭크 연출 1"
10130103,102,"",101301,"인연 랭크 연출 2"
10130104,103,"",101301,"인연 랭크 연출 3"
10130105,104,"",101301,"인연 랭크 연출 4"
10130106,105,"",101301,"인연 랭크 연출 5"
10130107,106,"",101301,"인연 랭크 연출 6"
10130108,107,"",101301,"인연 랭크 연출 7"
10130109,202,"",101301,"★6 재능 개화 연출"
10130110,108,"",101301,"인연 랭크 연출 8"
10130111,109,"",101301,"인연 랭크 연출 9"
10130112,110,"",101301,"인연 랭크 연출 10"
10130113,111,"",101301,"인연 랭크 연출 11"
10140101,201,"",101401,"획득 연출 1"
10140102,101,"",101401,"인연 랭크 연출 1"
10140103,102,"",101401,"인연 랭크 연출 2"
10140104,103,"",101401,"인연 랭크 연출 3"
10140105,104,"",101401,"인연 랭크 연출 4"
10140106,105,"",101401,"인연 랭크 연출 5"
10140107,106,"",101401,"인연 랭크 연출 6"
10140108,107,"",101401,"인연 랭크 연출 7"
10140109,202,"",101401,"★6 재능 개화 연출"
10140110,108,"",101401,"인연 랭크 연출 8"
10140111,109,"",101401,"인연 랭크 연출 9"
10140112,110,"",101401,"인연 랭크 연출 10"
10140113,111,"",101401,"인연 랭크 연출 11"
10150101,201,"",101501,"획득 연출 1"
10150102,101,"",101501,"인연 랭크 연출 1"
10150103,102,"",101501,"인연 랭크 연출 2"
10150104,103,"",101501,"인연 랭크 연출 3"
10150105,104,"",101501,"인연 랭크 연출 4"
10150106,105,"",101501,"인연 랭크 연출 5"
10150107,106,"",101501,"인연 랭크 연출 6"
10150108,107,"",101501,"인연 랭크 연출 7"
10150109,202,"",101501,"★6 재능 개화 연출"
10150110,108,"",101501,"인연 랭크 연출 8"
10150111,109,"",101501,"인연 랭크 연출 9"
10150112,110,"",101501,"인연 랭크 연출 10"
10150113,111,"",101501,"인연 랭크 연출 11"
10160101,201,"",101601,"획득 연출 1"
10160102,101,"",101601,"인연 랭크 연출 1"
10160103,102,"",101601,"인연 랭크 연출 2"
10160104,103,"",101601,"인연 랭크 연출 3"
10160105,104,"",101601,"인연 랭크 연출 4"
10160106,105,"",101601,"인연 랭크 연출 5"
10160107,106,"",101601,"인연 랭크 연출 6"
10160108,107,"",101601,"인연 랭크 연출 7"
10160109,202,"",101601,"★6 재능 개화 연출"
10160110,108,"",101601,"인연 랭크 연출 8"
10160111,109,"",101601,"인연 랭크 연출 9"
10160112,110,"",101601,"인연 랭크 연출 10"
10160113,111,"",101601,"인연 랭크 연출 11"
10170101,201,"",101701,"획득 연출 1"
10170102,101,"",101701,"인연 랭크 연출 1"
10170103,102,"",101701,"인연 랭크 연출 2"
10170104,103,"",101701,"인연 랭크 연출 3"
10170105,104,"",101701,"인연 랭크 연출 4"
10170106,105,"",101701,"인연 랭크 연출 5"
10170107,106,"",101701,"인연 랭크 연출 6"
10170108,107,"",101701,"인연 랭크 연출 7"
10170109,202,"",101701,"★6 재능 개화 연출"
10170110,108,"",101701,"인연 랭크 연출 8"
10170111,109,"",101701,"인연 랭크 연출 9"
10170112,110,"",101701,"인연 랭크 연출 10"
10170113,111,"",101701,"인연 랭크 연출 11"
10180101,201,"",101801,"획득 연출 1"
10180102,101,"",101801,"인연 랭크 연출 1"
10180103,102,"",101801,"인연 랭크 연출 2"
10180104,103,"",101801,"인연 랭크 연출 3"
10180105,104,"",101801,"인연 랭크 연출 4"
10180106,105,"",101801,"인연 랭크 연출 5"
10180107,106,"",101801,"인연 랭크 연출 6"
10180108,107,"",101801,"인연 랭크 연출 7"
10180109,202,"",101801,"★6 재능 개화 연출"
10180110,108,"",101801,"인연 랭크 연출 8"
10180111,109,"",101801,"인연 랭크 연출 9"
10180112,110,"",101801,"인연 랭크 연출 10"
10180113,111,"",101801,"인연 랭크 연출 11"
10200101,201,"",102001,"획득 연출 1"
10200102,101,"",102001,"인연 랭크 연출 1"
10200103,102,"",102001,"인연 랭크 연출 2"
10200104,103,"",102001,"인연 랭크 연출 3"
10200105,104,"",102001,"인연 랭크 연출 4"
10200106,105,"",102001,"인연 랭크 연출 5"
10200107,106,"",102001,"인연 랭크 연출 6"
10200108,107,"",102001,"인연 랭크 연출 7"
10200109,202,"",102001,"★6 재능 개화 연출"
10200110,108,"",102001,"인연 랭크 연출 8"
10200111,109,"",102001,"인연 랭크 연출 9"
10200112,110,"",102001,"인연 랭크 연출 10"
10200113,111,"",102001,"인연 랭크 연출 11"
10210101,201,"",102101,"획득 연출 1"
10210102,101,"",102101,"인연 랭크 연출 1"
10210103,102,"",102101,"인연 랭크 연출 2"
10210104,103,"",102101,"인연 랭크 연출 3"
10210105,104,"",102101,"인연 랭크 연출 4"
10210106,105,"",102101,"인연 랭크 연출 5"
10210107,106,"",102101,"인연 랭크 연출 6"
10210108,107,"",102101,"인연 랭크 연출 7"
10210109,202,"",102101,"★6 재능 개화 연출"
10210110,108,"",102101,"인연 랭크 연출 8"
10210111,109,"",102101,"인연 랭크 연출 9"
10210112,110,"",102101,"인연 랭크 연출 10"
10210113,111,"",102101,"인연 랭크 연출 11"
10220101,201,"",102201,"획득 연출 1"
10220102,101,"",102201,"인연 랭크 연출 1"
10220103,102,"",102201,"인연 랭크 연출 2"
10220104,103,"",102201,"인연 랭크 연출 3"
10220105,104,"",102201,"인연 랭크 연출 4"
10220106,105,"",102201,"인연 랭크 연출 5"
10220107,106,"",102201,"인연 랭크 연출 6"
10220108,107,"",102201,"인연 랭크 연출 7"
10220109,202,"",102201,"★6 재능 개화 연출"
10220110,108,"",102201,"인연 랭크 연출 8"
10220111,109,"",102201,"인연 랭크 연출 9"
10220112,110,"",102201,"인연 랭크 연출 10"
10220113,111,"",102201,"인연 랭크 연출 11"
10230101,201,"",102301,"획득 연출 1"
10230102,101,"",102301,"인연 랭크 연출 1"
10230103,102,"",102301,"인연 랭크 연출 2"
10230104,103,"",102301,"인연 랭크 연출 3"
10230105,104,"",102301,"인연 랭크 연출 4"
10230106,105,"",102301,"인연 랭크 연출 5"
10230107,106,"",102301,"인연 랭크 연출 6"
10230108,107,"",102301,"인연 랭크 연출 7"
10230109,202,"",102301,"★6 재능 개화 연출"
10230110,108,"",102301,"인연 랭크 연출 8"
10230111,109,"",102301,"인연 랭크 연출 9"
10230112,110,"",102301,"인연 랭크 연출 10"
10230113,111,"",102301,"인연 랭크 연출 11"
10250101,201,"",102501,"획득 연출 1"
10250102,101,"",102501,"인연 랭크 연출 1"
10250103,102,"",102501,"인연 랭크 연출 2"
10250104,103,"",102501,"인연 랭크 연출 3"
10250105,104,"",102501,"인연 랭크 연출 4"
10250106,105,"",102501,"인연 랭크 연출 5"
10250107,106,"",102501,"인연 랭크 연출 6"
10250108,107,"",102501,"인연 랭크 연출 7"
10250109,202,"",102501,"★6 재능 개화 연출"
10250110,108,"",102501,"인연 랭크 연출 8"
10250111,109,"",102501,"인연 랭크 연출 9"
10250112,110,"",102501,"인연 랭크 연출 10"
10250113,111,"",102501,"인연 랭크 연출 11"
10260101,201,"",102601,"획득 연출 1"
10260102,101,"",102601,"인연 랭크 연출 1"
10260103,102,"",102601,"인연 랭크 연출 2"
10260104,103,"",102601,"인연 랭크 연출 3"
10260105,104,"",102601,"인연 랭크 연출 4"
10260106,105,"",102601,"인연 랭크 연출 5"
10260107,106,"",102601,"인연 랭크 연출 6"
10260108,107,"",102601,"인연 랭크 연출 7"
10260109,202,"",102601,"★6 재능 개화 연출"
10260110,108,"",102601,"인연 랭크 연출 8"
10260111,109,"",102601,"인연 랭크 연출 9"
10260112,110,"",102601,"인연 랭크 연출 10"
10260113,111,"",102601,"인연 랭크 연출 11"
10270101,201,"",102701,"획득 연출 1"
10270102,101,"",102701,"인연 랭크 연출 1"
10270103,102,"",102701,"인연 랭크 연출 2"
10270104,103,"",102701,"인연 랭크 연출 3"
10270105,104,"",102701,"인연 랭크 연출 4"
10270106,105,"",102701,"인연 랭크 연출 5"
10270107,106,"",102701,"인연 랭크 연출 6"
10270108,107,"",102701,"인연 랭크 연출 7"
10270109,202,"",102701,"★6 재능 개화 연출"
10270110,108,"",102701,"인연 랭크 연출 8"
10270111,109,"",102701,"인연 랭크 연출 9"
10270112,110,"",102701,"인연 랭크 연출 10"
10270113,111,"",102701,"인연 랭크 연출 11"
10280101,201,"",102801,"획득 연출 1"
10280102,101,"",102801,"인연 랭크 연출 1"
10280103,102,"",102801,"인연 랭크 연출 2"
10280104,103,"",102801,"인연 랭크 연출 3"
10280105,104,"",102801,"인연 랭크 연출 4"
10280106,105,"",102801,"인연 랭크 연출 5"
10280107,106,"",102801,"인연 랭크 연출 6"
10280108,107,"",102801,"인연 랭크 연출 7"
10280109,202,"",102801,"★6 재능 개화 연출"
10280110,108,"",102801,"인연 랭크 연출 8"
10280111,109,"",102801,"인연 랭크 연출 9"
10280112,110,"",102801,"인연 랭크 연출 10"
10280113,111,"",102801,"인연 랭크 연출 11"
10290101,201,"",102901,"획득 연출 1"
10290102,101,"",102901,"인연 랭크 연출 1"
10290103,102,"",102901,"인연 랭크 연출 2"
10290104,103,"",102901,"인연 랭크 연출 3"
10290105,104,"",102901,"인연 랭크 연출 4"
10290106,105,"",102901,"인연 랭크 연출 5"
10290107,106,"",102901,"인연 랭크 연출 6"
10290108,107,"",102901,"인연 랭크 연출 7"
10290109,202,"",102901,"★6 재능 개화 연출"
10290110,108,"",102901,"인연 랭크 연출 8"
10290111,109,"",102901,"인연 랭크 연출 9"
10290112,110,"",102901,"인연 랭크 연출 10"
10290113,111,"",102901,"인연 랭크 연출 11"
10300101,201,"",103001,"획득 연출 1"
10300102,101,"",103001,"인연 랭크 연출 1"
10300103,102,"",103001,"인연 랭크 연출 2"
10300104,103,"",103001,"인연 랭크 연출 3"
10300105,104,"",103001,"인연 랭크 연출 4"
10300106,105,"",103001,"인연 랭크 연출 5"
10300107,106,"",103001,"인연 랭크 연출 6"
10300108,107,"",103001,"인연 랭크 연출 7"
10300109,202,"",103001,"★6 재능 개화 연출"
10300110,108,"",103001,"인연 랭크 연출 8"
10300111,109,"",103001,"인연 랭크 연출 9"
10300112,110,"",103001,"인연 랭크 연출 10"
10300113,111,"",103001,"인연 랭크 연출 11"
10310101,201,"",103101,"획득 연출 1"
10310102,101,"",103101,"인연 랭크 연출 1"
10310103,102,"",103101,"인연 랭크 연출 2"
10310104,103,"",103101,"인연 랭크 연출 3"
10310105,104,"",103101,"인연 랭크 연출 4"
10310106,105,"",103101,"인연 랭크 연출 5"
10310107,106,"",103101,"인연 랭크 연출 6"
10310108,107,"",103101,"인연 랭크 연출 7"
10310109,202,"",103101,"★6 재능 개화 연출"
10310110,108,"",103101,"인연 랭크 연출 8"
10310111,109,"",103101,"인연 랭크 연출 9"
10310112,110,"",103101,"인연 랭크 연출 10"
10310113,111,"",103101,"인연 랭크 연출 11"
10320101,201,"",103201,"획득 연출 1"
10320102,101,"",103201,"인연 랭크 연출 1"
10320103,102,"",103201,"인연 랭크 연출 2"
10320104,103,"",103201,"인연 랭크 연출 3"
10320105,104,"",103201,"인연 랭크 연출 4"
10320106,105,"",103201,"인연 랭크 연출 5"
10320107,106,"",103201,"인연 랭크 연출 6"
10320108,107,"",103201,"인연 랭크 연출 7"
10320109,202,"",103201,"★6 재능 개화 연출"
10320110,108,"",103201,"인연 랭크 연출 8"
10320111,109,"",103201,"인연 랭크 연출 9"
10320112,110,"",103201,"인연 랭크 연출 10"
10320113,111,"",103201,"인연 랭크 연출 11"
10330101,201,"",103301,"획득 연출 1"
10330102,101,"",103301,"인연 랭크 연출 1"
10330103,102,"",103301,"인연 랭크 연출 2"
10330104,103,"",103301,"인연 랭크 연출 3"
10330105,104,"",103301,"인연 랭크 연출 4"
10330106,105,"",103301,"인연 랭크 연출 5"
10330107,106,"",103301,"인연 랭크 연출 6"
10330108,107,"",103301,"인연 랭크 연출 7"
10330109,202,"",103301,"★6 재능 개화 연출"
10330110,108,"",103301,"인연 랭크 연출 8"
10330111,109,"",103301,"인연 랭크 연출 9"
10330112,110,"",103301,"인연 랭크 연출 10"
10330113,111,"",103301,"인연 랭크 연출 11"
10340101,201,"",103401,"획득 연출 1"
10340102,101,"",103401,"인연 랭크 연출 1"
10340103,102,"",103401,"인연 랭크 연출 2"
10340104,103,"",103401,"인연 랭크 연출 3"
10340105,104,"",103401,"인연 랭크 연출 4"
10340106,105,"",103401,"인연 랭크 연출 5"
10340107,106,"",103401,"인연 랭크 연출 6"
10340108,107,"",103401,"인연 랭크 연출 7"
10340109,202,"",103401,"★6 재능 개화 연출"
10340110,108,"",103401,"인연 랭크 연출 8"
10340111,109,"",103401,"인연 랭크 연출 9"
10340112,110,"",103401,"인연 랭크 연출 10"
10340113,111,"",103401,"인연 랭크 연출 11"
10360101,201,"",103601,"획득 연출 1"
10360102,101,"",103601,"인연 랭크 연출 1"
10360103,102,"",103601,"인연 랭크 연출 2"
10360104,103,"",103601,"인연 랭크 연출 3"
10360105,104,"",103601,"인연 랭크 연출 4"
10360106,105,"",103601,"인연 랭크 연출 5"
10360107,106,"",103601,"인연 랭크 연출 6"
10360108,107,"",103601,"인연 랭크 연출 7"
10360109,202,"",103601,"★6 재능 개화 연출"
10360110,108,"",103601,"인연 랭크 연출 8"
10360111,109,"",103601,"인연 랭크 연출 9"
10360112,110,"",103601,"인연 랭크 연출 10"
10360113,111,"",103601,"인연 랭크 연출 11"
10370101,201,"",103701,"획득 연출 1"
10370102,101,"",103701,"인연 랭크 연출 1"
10370103,102,"",103701,"인연 랭크 연출 2"
10370104,103,"",103701,"인연 랭크 연출 3"
10370105,104,"",103701,"인연 랭크 연출 4"
10370106,105,"",103701,"인연 랭크 연출 5"
10370107,106,"",103701,"인연 랭크 연출 6"
10370108,107,"",103701,"인연 랭크 연출 7"
10370109,202,"",103701,"★6 재능 개화 연출"
10370110,108,"",103701,"인연 랭크 연출 8"
10370111,109,"",103701,"인연 랭크 연출 9"
10370112,110,"",103701,"인연 랭크 연출 10"
10370113,111,"",103701,"인연 랭크 연출 11"
10380101,201,"",103801,"획득 연출 1"
10380102,101,"",103801,"인연 랭크 연출 1"
10380103,102,"",103801,"인연 랭크 연출 2"
10380104,103,"",103801,"인연 랭크 연출 3"
10380105,104,"",103801,"인연 랭크 연출 4"
10380106,105,"",103801,"인연 랭크 연출 5"
10380107,106,"",103801,"인연 랭크 연출 6"
10380108,107,"",103801,"인연 랭크 연출 7"
10380109,202,"",103801,"★6 재능 개화 연출"
10380110,108,"",103801,"인연 랭크 연출 8"
10380111,109,"",103801,"인연 랭크 연출 9"
10380112,110,"",103801,"인연 랭크 연출 10"
10380113,111,"",103801,"인연 랭크 연출 11"
10400101,201,"",104001,"획득 연출 1"
10400102,101,"",104001,"인연 랭크 연출 1"
10400103,102,"",104001,"인연 랭크 연출 2"
10400104,103,"",104001,"인연 랭크 연출 3"
10400105,104,"",104001,"인연 랭크 연출 4"
10400106,105,"",104001,"인연 랭크 연출 5"
10400107,106,"",104001,"인연 랭크 연출 6"
10400108,107,"",104001,"인연 랭크 연출 7"
10400109,202,"",104001,"★6 재능 개화 연출"
10400110,108,"",104001,"인연 랭크 연출 8"
10400111,109,"",104001,"인연 랭크 연출 9"
10400112,110,"",104001,"인연 랭크 연출 10"
10400113,111,"",104001,"인연 랭크 연출 11"
10420101,201,"",104201,"획득 연출 1"
10420102,101,"",104201,"인연 랭크 연출 1"
10420103,102,"",104201,"인연 랭크 연출 2"
10420104,103,"",104201,"인연 랭크 연출 3"
10420105,104,"",104201,"인연 랭크 연출 4"
10420106,105,"",104201,"인연 랭크 연출 5"
10420107,106,"",104201,"인연 랭크 연출 6"
10420108,107,"",104201,"인연 랭크 연출 7"
10420109,202,"",104201,"★6 재능 개화 연출"
10420110,108,"",104201,"인연 랭크 연출 8"
10420111,109,"",104201,"인연 랭크 연출 9"
10420112,110,"",104201,"인연 랭크 연출 10"
10420113,111,"",104201,"인연 랭크 연출 11"
10430101,201,"",104301,"획득 연출 1"
10430102,101,"",104301,"인연 랭크 연출 1"
10430103,102,"",104301,"인연 랭크 연출 2"
10430104,103,"",104301,"인연 랭크 연출 3"
10430105,104,"",104301,"인연 랭크 연출 4"
10430106,105,"",104301,"인연 랭크 연출 5"
10430107,106,"",104301,"인연 랭크 연출 6"
10430108,107,"",104301,"인연 랭크 연출 7"
10430109,202,"",104301,"★6 재능 개화 연출"
10430110,108,"",104301,"인연 랭크 연출 8"
10430111,109,"",104301,"인연 랭크 연출 9"
10430112,110,"",104301,"인연 랭크 연출 10"
10430113,111,"",104301,"인연 랭크 연출 11"
10440101,201,"",104401,"획득 연출 1"
10440102,101,"",104401,"인연 랭크 연출 1"
10440103,102,"",104401,"인연 랭크 연출 2"
10440104,103,"",104401,"인연 랭크 연출 3"
10440105,104,"",104401,"인연 랭크 연출 4"
10440106,105,"",104401,"인연 랭크 연출 5"
10440107,106,"",104401,"인연 랭크 연출 6"
10440108,107,"",104401,"인연 랭크 연출 7"
10440109,202,"",104401,"★6 재능 개화 연출"
10440110,108,"",104401,"인연 랭크 연출 8"
10440111,109,"",104401,"인연 랭크 연출 9"
10440112,110,"",104401,"인연 랭크 연출 10"
10440113,111,"",104401,"인연 랭크 연출 11"
10450101,201,"",104501,"획득 연출 1"
10450102,101,"",104501,"인연 랭크 연출 1"
10450103,102,"",104501,"인연 랭크 연출 2"
10450104,103,"",104501,"인연 랭크 연출 3"
10450105,104,"",104501,"인연 랭크 연출 4"
10450106,105,"",104501,"인연 랭크 연출 5"
10450107,106,"",104501,"인연 랭크 연출 6"
10450108,107,"",104501,"인연 랭크 연출 7"
10450109,202,"",104501,"★6 재능 개화 연출"
10450110,108,"",104501,"인연 랭크 연출 8"
10450111,109,"",104501,"인연 랭크 연출 9"
10450112,110,"",104501,"인연 랭크 연출 10"
10450113,111,"",104501,"인연 랭크 연출 11"
10460101,201,"",104601,"획득 연출 1"
10460102,101,"",104601,"인연 랭크 연출 1"
10460103,102,"",104601,"인연 랭크 연출 2"
10460104,103,"",104601,"인연 랭크 연출 3"
10460105,104,"",104601,"인연 랭크 연출 4"
10460106,105,"",104601,"인연 랭크 연출 5"
10460107,106,"",104601,"인연 랭크 연출 6"
10460108,107,"",104601,"인연 랭크 연출 7"
10460109,202,"",104601,"★6 재능 개화 연출"
10460110,108,"",104601,"인연 랭크 연출 8"
10460111,109,"",104601,"인연 랭크 연출 9"
10460112,110,"",104601,"인연 랭크 연출 10"
10460113,111,"",104601,"인연 랭크 연출 11"
10470101,201,"",104701,"획득 연출 1"
10470102,101,"",104701,"인연 랭크 연출 1"
10470103,102,"",104701,"인연 랭크 연출 2"
10470104,103,"",104701,"인연 랭크 연출 3"
10470105,104,"",104701,"인연 랭크 연출 4"
10470106,105,"",104701,"인연 랭크 연출 5"
10470107,106,"",104701,"인연 랭크 연출 6"
10470108,107,"",104701,"인연 랭크 연출 7"
10470109,202,"",104701,"★6 재능 개화 연출"
10470110,108,"",104701,"인연 랭크 연출 8"
10470111,109,"",104701,"인연 랭크 연출 9"
10470112,110,"",104701,"인연 랭크 연출 10"
10470113,111,"",104701,"인연 랭크 연출 11"
10480101,201,"",104801,"획득 연출 1"
10480102,101,"",104801,"인연 랭크 연출 1"
10480103,102,"",104801,"인연 랭크 연출 2"
10480104,103,"",104801,"인연 랭크 연출 3"
10480105,104,"",104801,"인연 랭크 연출 4"
10480106,105,"",104801,"인연 랭크 연출 5"
10480107,106,"",104801,"인연 랭크 연출 6"
10480108,107,"",104801,"인연 랭크 연출 7"
10480109,202,"",104801,"★6 재능 개화 연출"
10480110,108,"",104801,"인연 랭크 연출 8"
10480111,109,"",104801,"인연 랭크 연출 9"
10480112,110,"",104801,"인연 랭크 연출 10"
10480113,111,"",104801,"인연 랭크 연출 11"
10490101,201,"",104901,"획득 연출 1"
10490102,101,"",104901,"인연 랭크 연출 1"
10490103,102,"",104901,"인연 랭크 연출 2"
10490104,103,"",104901,"인연 랭크 연출 3"
10490105,104,"",104901,"인연 랭크 연출 4"
10490106,105,"",104901,"인연 랭크 연출 5"
10490107,106,"",104901,"인연 랭크 연출 6"
