type_2,type_4,discription,type_3,type_1,id
0,0,"[1차 경고] 불건전 언어를 계속하여 사용할 경우 계정이 제한될 수 있습니다.",0,0,8919
0,0,"[2차 경고] 불건전 언어를 계속하여 사용할 경우 계정이 제한될 수 있습니다.",0,0,8920
0,0,"안내해 드릴 사항이 있어 1:1 문의 접수를 요청드립니다.",0,0,8921
0,0,"설문조사에 참여해주셔서 감사합니다.",0,0,8922
0,0,"게임 이용에 불편을 드려 죄송합니다.",0,0,9101
0,0,"길드 관리 협회에서 보낸 보상입니다.",0,0,9102
0,0,"도전횟수를 4회 이하로 한 뒤 수령해 주세요.",0,0,9103
0,0,"점검을 기다려 주셔서 감사합니다.",0,0,9201
0,0,"업데이트해주셔서 감사합니다.",0,0,9202
0,0,"길드 관리 협회의 선물입니다.",0,0,9203
0,0,"사전 예약 선물입니다.",0,0,9204
0,0,"쿠폰 입력 선물입니다.",0,0,9205
0,0,"「사전등록 캠페인」 30만 명 달성 보상입니다.",0,0,9206
0,0,"LinksMate 게임 연계 특전입니다.",0,0,9208
0,0,"LinksMate 이용 특전입니다.",0,0,9209
0,0,"LinksMate의 스타 선물입니다.",0,0,9210
0,0,"「DMM판 사전등록 캠페인」 10만 명 달성 보상입니다.",0,0,9211
0,0,"라디오 1주년 기념 생방송 코너의 특별 선물입니다.",0,0,9212
0,0,"길드 관리 협회의 길드 하우스 아이템 선물입니다.",0,0,9213
0,0,"「공식 생방송 2018 가을」 코너의 특별 선물입니다.",0,0,9214
0,0,"루나의 탑 업데이트에 따른 선물입니다.",0,0,9215
0,0,"미션 보상 변경에 따른 선물입니다.",0,0,9216
0,0,"2nd Anniversary 기념 RT 캠페인 당첨자에게 드리는 선물입니다.",0,0,9217
0,0,"토모(매지컬) 등장 기념 선물입니다.",0,0,9218
0,0,"길드 관리 협회의 「드라갈리아 로스트」 응원 기념 길드 하우스 아이템 선물입니다.",0,0,9219
0,0,"LinksStore에서 교환한 상품입니다.",0,0,9220
0,0,"#페코BIG 캠페인 당첨자 선물입니다.",0,0,9221
0,0,"#페코고양이BIG 캠페인 당첨자 선물입니다.",0,0,9222
0,0,"리제로 콜라보 캠페인 제1탄 당첨자 선물입니다.",0,0,9223
0,0,"보유 가능 수량을 초과하여 획득한 스태미나입니다.",0,0,9301
0,0,"배틀 아레나 방어 성공 보상입니다.",0,0,9302
0,0,"프린세스 아레나 방어 성공 보상입니다.",0,0,9303
0,0,"클랜 서포트를 통해 획득한 보상입니다.",0,0,9304
0,0,"랭크업 전에 장비 강화에서 사용한 아이템 일부입니다.",0,0,9305
0,0,"플레이어 경험치가 변환되어 획득한 마나입니다.",0,0,9306
0,0,"클랜전 토벌 보상으로 획득한 아이템입니다.",0,0,9307
0,0,"클랜 멤버에게 좋아요를 받고 획득한 마나입니다.",0,0,9308
0,0,"보유 가능 수량을 초과하여 획득한 배틀 아레나의 타임 보상입니다.",0,0,9309
0,0,"보유 가능 수량을 초과하여 획득한 배틀 아레나 보상입니다.",0,0,9310
0,0,"보유 가능 수량을 초과하여 획득한 프린세스 아레나 타임 보상입니다.",0,0,9311
0,0,"보유 가능 수량을 초과하여 획득한 프린세스 아레나 보상입니다.",0,0,9312
0,0,"보유 가능 수량을 초과하여 획득한 캐릭터 교환 보상입니다.",0,0,9313
0,0,"뽑기 갱신에 따른 캐릭터 교환Pt 변환 아이템입니다.",0,0,9314
0,0,"스태미나가 변환되어 획득한 코인입니다.",0,0,9315
0,0,"SP 페스 캐릭터 교환Pt 변환 아이템입니다",0,0,9316
0,0,"친구 서포트를 통해 획득한 보상입니다.",0,0,9317
0,0,"보유 가능 수량을 초과하여 획득한 스페셜 교환 티켓 보상입니다.",0,0,9318
0,0,"구입 시 획득한 아이템입니다.",0,0,9319
0,0,"CSP 캐릭터 교환 Pt 변환 아이템입니다.",0,0,9320
0,0,"보유 가능 수량을 초과하여 획득한 메모리 피스 교환 티켓 보상입니다.",0,0,9321
0,0,"스토리 열람으로 획득한 아이템입니다.",0,0,9322
0,0,"모두의 캘린더 내에서 획득한 아이템입니다.",0,0,9323
0,0,"프린세스 아레나 미접속 기간에 따른 {0}일치 랭킹 보상입니다.",0,23,9324
0,0,"배틀 아레나 미로그인 기간에 따른 {0}일치 랭킹 보상입니다.",0,23,9325
0,0,"보유 상한을 초과해 획득한 주사위입니다.",0,0,9326
0,0,"데일리 쥬얼 팩 아이템입니다.",0,0,9401
0,0,"7일간 스태미나 응원 팩의 아이템입니다.",0,0,9402
0,0,"아이템 장비팩Ⅰ를 구입하여 획득한 아이템입니다.",0,0,9403
0,0,"아이템 장비팩Ⅱ를 구입하여 획득한 아이템입니다.",0,0,9404
0,0,"아이템 장비팩Ⅲ를 구입하여 획득한 아이템입니다.",0,0,9405
0,0,"아이템 장비팩Ⅳ를 구입하여 획득한 아이템입니다.",0,0,9406
0,0,"아이템 장비팩Ⅰ(재판매)를 구입하여 획득한 아이템입니다.",0,0,9407
0,0,"아이템 장비팩Ⅱ(재판매)를 구입하여 획득한 아이템입니다.",0,0,9408
0,0,"아이템 장비팩Ⅲ(재판매)를 구입하여 획득한 아이템입니다.",0,0,9409
0,0,"아이템 장비팩Ⅳ(재판매)를 구입하여 획득한 아이템입니다.",0,0,9410
0,0,"아이템 장비팩Ⅴ를 구입하여 획득한 아이템입니다.",0,0,9411
0,0,"아이템 장비팩Ⅵ를 구입하여 획득한 아이템입니다.",0,0,9412
0,0,"아이템 장비팩Ⅰ(3주년) 구입으로 획득한 아이템입니다.",0,0,9413
0,0,"아이템 장비팩Ⅱ(3주년) 구입으로 획득한 아이템입니다.",0,0,9414
0,0,"아이템 장비팩Ⅲ(3주년) 구입으로 획득한 아이템입니다.",0,0,9415
0,0,"아이템 장비팩Ⅳ(3주년) 구입으로 획득한 아이템입니다.",0,0,9416
0,0,"아이템 장비팩Ⅴ(3주년) 구입으로 획득한 아이템입니다.",0,0,9417
0,0,"아이템 장비팩Ⅵ(3주년) 구입으로 획득한 아이템입니다.",0,0,9418
0,0,"아이템 장비팩Ⅶ를 구입하여 획득한 아이템입니다.",0,0,9419
0,0,"아이템 장비팩Ⅷ를 구입하여 획득한 아이템입니다.",0,0,9420
0,0,"아이템 장비팩Ⅰ(4주년) 구입으로 획득한 아이템입니다.",0,0,9421
0,0,"아이템 장비팩Ⅱ(4주년) 구입으로 획득한 아이템입니다.",0,0,9422
0,0,"아이템 장비팩Ⅲ(4주년) 구입으로 획득한 아이템입니다.",0,0,9423
0,0,"아이템 장비팩Ⅳ(4주년) 구입으로 획득한 아이템입니다.",0,0,9424
0,0,"아이템 장비팩Ⅴ(4주년) 구입으로 획득한 아이템입니다.",0,0,9425
0,0,"아이템 장비팩Ⅵ(4주년) 구입으로 획득한 아이템입니다.",0,0,9426
0,0,"아이템 장비팩Ⅶ(4주년) 구입으로 획득한 아이템입니다.",0,0,9427
0,0,"아이템 장비팩Ⅷ(4주년) 구입으로 획득한 아이템입니다.",0,0,9428
0,0,"아이템 장비팩Ⅸ(4주년) 구입으로 획득한 아이템입니다.",0,0,9429
0,0,"아이템 장비팩Ⅹ(4주년) 구입으로 획득한 아이템입니다.",0,0,9430
0,0,"콜라보 팩 구입으로 획득한 아이템입니다.",0,0,9431
0,0,"스피어 팩 구입으로 획득한 아이템입니다.",0,0,9432
0,0,"프린세스 나이트 강화 팩 구입으로 획득한 아이템입니다.",0,0,9433
0,0,"★6 캐릭터 육성 팩 구입으로 획득한 아이템입니다.",0,0,9434
0,0,"★4 EX 장비 팩 구입으로 획득한 아이템입니다.",0,0,9435
0,0,"EX ★4 장비 팩 구입으로 획득한 아이템입니다.",0,0,9436
0,0,"퓨어 메모리 피스 팩 구입으로 획득한 아이템입니다.",0,0,9437
0,0,"속성 강화 팩 구입으로 획득한 아이템입니다.",0,0,9438
0,0,"궁극 연성 팩을 구입하여 획득한 아이템입니다.",0,0,9439
0,0,"스페셜 캐릭터 교환 뽑기 세트를 구입하여 획득한 아이템입니다.",0,0,9440
0,0,"전용 장비1 글로우 스피어 팩을 구입하여 획득한 아이템입니다.",0,0,9441
0,0,"매월 갱신 EX★4 장비 팩 (랜덤) 구입으로 획득한 아이템입니다.",0,0,9495
2,0,"「이벤트 로그인 보너스」 {1}일째 획득한 아이템입니다.",0,13,9501
0,0,"이벤트 퀘스트 첫 클리어로 획득한 아이템입니다.",0,13,9502
14,0,"이벤트 퀘스트 {1}클리어로 획득한 아이템입니다.",0,13,9503
15,0,"이벤트 보스 「{1}」 첫 돌파로 획득한 아이템입니다.",0,13,9504
15,0,"이벤트 보스「{1}」 배틀에서 획득한 아이템입니다.",0,13,9505
0,0,"이벤트 미션 달성으로 획득한 아이템입니다.",0,13,9506
12,0,"「{1}」에서 획득한 아이템입니다.",0,13,9507
0,0,"「{0}」에서 획득한 아이템입니다.",0,13,9508
0,0,"수수께끼 풀이에서 획득한 아이템입니다.",0,0,9509
0,0,"「{0}」에서 획득한 아이템입니다.",0,18,9510
0,0,"3월 이벤트 콘텐츠에서 획득한 아이템입니다.",0,0,9511
0,0,"사이드 스토리 퀘스트 첫 클리어로 획득한 아이템입니다.",0,13,9512
14,0,"사이드 스토리 퀘스트 {1} 클리어로 획득한 아이템입니다.",0,13,9513
15,0,"사이드 스토리 보스 「{1}」 배틀에서 획득한 아이템입니다.",0,13,9514
0,0,"사이드 스토리 미션 달성으로 획득한 아이템입니다.",0,13,9515
2,0,"「복각 이벤트 로그인 보너스」 {1}일째 획득한 아이템입니다.",0,13,9516
0,0,"「모두의 훈련장」에서 획득한 아이템입니다.",0,0,9517
0,0,"EX 장비 분해로 획득한 아이템입니다.",0,0,9518
0,0,"EX 장비 강화로 획득한 아이템입니다.",0,0,9519
0,0,"보유 상한을 초과해 획득한 이벤트 로그인 보너스 보상입니다.",0,0,9520
0,0,"보유 상한을 초과해 획득한 복각 이벤트 로그인 보너스 보상입니다.",0,0,9521
0,0,"보유 상한을 초과해 획득한 프린세스 나이트 강화 보상입니다.",0,0,9522
0,0,"「보상 교환」으로 획득한 아이템입니다.",0,0,9524
0,0,"미니 게임에서 획득한 아이템입니다.",0,0,9600
0,0,"「배틀 오브 랜드솔」에서 획득한 랭킹 보상입니다.",0,0,9700
0,0,"「배틀 오브 랜드솔」에서 획득한 공격 보상입니다.",0,0,9701
0,0,"「왕도 종말 결전」에서 획득한 아이템입니다.",0,0,9702
0,0,"「배틀 오브 랜드솔」에서 획득한 아이템입니다.",0,0,9703
0,0,"「레기온 워」에서 획득한 아이템입니다.",0,0,9704
0,0,"「{0}」에서 획득한 아이템입니다.",0,24,9705
0,0,"「연옥의 리벨리온」에서 획득한 아이템입니다.",0,0,9706
0,0,"보유 상한을 초과하여 획득한 아이템입니다.",0,0,9707
0,0,"보유 상한을 초과하여 획득한 교환 티켓의 보상입니다.",0,0,9708
0,0,"「{0}」에서 획득한 아이템입니다.",0,21,9800
0,0,"「{0}」에서 획득한 아이템입니다.",0,22,9801
