name,music_id,total_playing_time,cue_id,sheet_id,listen_start_time,detail
"글러튼",13,01:07,bgm_M139_juke,bgm_M139,00:00,"클랜전 \n\n시간 / 01:07\n작곡 / 에하라 다이스케\n편곡 / 에하라 다이스케"
"트릭 오어 푸딩! 약속의 할로윈 파티",14,01:01,bgm_M135_juke,bgm_M135,00:00,"스토리 이벤트 테마\n-｢좀 더! 두 사람의 파티 나이트｣ 어레인지-\n\n시간 / 01:01\n작곡 / TAKT\n편곡 / 니시무라 신고"
"잭 오 푸딩",15,02:26,bgm_M138_juke,bgm_M138,00:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:26\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"좀 더! 두 사람의 파티 나이트",16,01:21,bgm_M161,bgm_M161,00:46,"캐릭터 송\n\n시간 / 01:21\n노래 / 시노부(오오츠보 유카)\n미야코(아마미야 소라)\n작사 / 카메이 히로유키(Cygames)\n작곡 / TAKT\n편곡 / TAKT"
"빛나는 얼음 수정",17,01:31,bgm_M140_juke,bgm_M140,00:00,"메인 퀘스트\n\n시간 / 01:31\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"Shining Future",18,02:01,bgm_M150,bgm_M150,01:00,"캐릭터 송\n\n시간 / 02:01\n노래 / 노조미(히카사 요코)\n치카(후쿠하라 아야카)\n츠무기(키도 이부키)\n작사 / 소노 쥬리\n작곡 / 타케다 조이\n편곡 / TAKT"
"바람의 맹세",19,01:31,bgm_M143,bgm_M143,00:37,"캐릭터 송\n\n시간 / 01:31\n노래 / 치카(후쿠하라 아야카)\n작사 / 노무라 이쿠미\n작곡 / 우츠미 타카아키\n편곡 / 우츠미 타카아키"
"너의 미소가 보고 싶으니까",20,01:47,bgm_M144,bgm_M144,00:54,"캐릭터 송\n\n시간 / 01:47\n노래 / 노조미(히카사 요코)\n작사 / Manami\n작곡 / 우츠미 타카아키\n편곡 / 오카노 유지로"
"장난꾸러기의 마음!",21,01:34,bgm_M148,bgm_M148,00:48,"캐릭터 송\n\n시간 / 01:34\n노래 / 츠무기(키도 이부키)\n작사 / 이소가이 요시에\n작곡 / 이소가이 요시에\n편곡 / 우츠미 타카아키"
"불온한 분위기와 맞서는 투지",22,01:46,bgm_M42_juke,bgm_M42,00:00,"메인 퀘스트\n\n시간 / 01:46\n작곡 / 혼다 아키히로(Cygames)\n편곡 / 오카데 리나"
"트윈 피그즈",23,01:07,bgm_M104_juke,bgm_M104,00:00,"클랜전 \n\n시간 / 01:07\n작곡 / 니시키 야스노리\n편곡 / 니시키 야스노리"
"뱀파이어 헌터 with 이리야",24,00:54,bgm_M106_juke,bgm_M106,00:00,"스토리 이벤트 테마\n-｢Peaceful*여주 볶음｣ 어레인지-\n\n시간 / 00:54\n작곡 / 오노 타카미츠\n편곡 / 히가시오지 켄타"
"가르그",25,03:18,bgm_M109_juke,bgm_M109,00:00,"스토리 이벤트 보스 배틀\n\n시간 / 03:18\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"Peaceful*여주 볶음",26,01:30,bgm_M151,bgm_M151,00:44,"캐릭터 송\n\n시간 / 01:30\n노래 / 마호(우치다 마아야)\n카오리(타카모리 나츠미)\n작사 / 이소가이 요시에\n작곡 / 오노 타카미츠\n편곡 / 타마키 치히로"
"레사스 팔트",27,01:12,bgm_M166_juke,bgm_M166,00:00,"클랜전 \n\n시간 / 01:12\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"트와일라이트 브레이커즈",28,01:30,bgm_M162_juke,bgm_M162,00:00,"스토리 이벤트 테마\n-｢최강이지, 그치?｣ 어레인지-\n\n시간 / 01:30\n작곡 / Heart's Cry\n편곡 / 타다 아키후미"
"올램",29,02:02,bgm_M165_juke,bgm_M165,00:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:02\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"최강이지, 그치?",30,01:22,bgm_M176,bgm_M176,00:42,"캐릭터 송\n\n시간 / 01:22\n노래 / 안나(타카노 아사미)\n나나카(요시무라 하루카)\n작사 / Heart's Cry\n작곡 / Heart's Cry\n편곡 / Heart's Cry"
"빙해의 땅",31,02:05,bgm_M141_juke,bgm_M141,00:00,"메인 퀘스트\n\n시간 / 02:05\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"얼음과 눈의 세계",32,01:08,bgm_M58_juke,bgm_M58,00:00,"메인 퀘스트\n\n시간 / 01:08\n작곡 / 니시무라 신고\n편곡 / 니시무라 신고"
"산뜻한 바람",33,01:05,bgm_M101_juke,bgm_M101,00:00,"메인 퀘스트\n\n시간 / 01:05\n작곡 / 카토 케이\n편곡 / 카토 케이"
"카르키노스",34,01:02,bgm_M115_juke,bgm_M115,00:00,"클랜전 \n\n시간 / 01:02\n작곡 / 시라이 유우키(Cygames)\n편곡 / 시라이 유우키(Cygames)"
"데인저러스 바캉스! 해변의 미식가 프린세스",35,01:05,bgm_M112_juke,bgm_M112,00:00,"스토리 이벤트 테마\n-｢웃음 가득한 우리 집｣ 어레인지-\n\n시간 / 01:05\n작곡 / Lucas\n편곡 / 니시무라 신고"
"텐타퍼스",36,02:10,bgm_M116_juke,bgm_M116,00:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:10\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"웃음 가득한 우리 집",37,01:40,bgm_M147,bgm_M147,01:00,"캐릭터 송\n\n시간 / 01:40\n노래 / 사렌(호리에 유이)\n스즈메(유우키 아오이)\n작사 / Mitsu\n작곡 / Lucas\n편곡 / Lucas"
"사지타리우스",38,00:45,bgm_M175_juke,bgm_M175,00:00,"클랜전 \n\n시간 / 00:45\n작곡 / 쇼지 신고(Cygames)\n편곡 / 쇼지 신고(Cygames)"
"망각의 캐럴",39,00:55,bgm_M171_juke,bgm_M171,00:00,"스토리 이벤트 테마\n-｢Ding Dong Holy Night♪｣ 어레인지-\n\n시간 / 00:55\n작곡 / 마부치 나오즈미\n편곡 / 나카무라 사오리(Cygames)"
"미스티",40,02:57,bgm_M172_juke,bgm_M172,00:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:57\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"Ding Dong Holy Night♪",41,01:28,bgm_M187,bgm_M187,00:42,"캐릭터 송\n\n시간 / 01:28\n노래 / 아야네(세리자와 유우)\n쿠루미(우에다 카나)\n작사 / 이소가이 요시에\n작곡 / 마부치 나오즈미\n편곡 / 마부치 나오즈미"
"험난한 사막",42,00:57,bgm_M93_juke,bgm_M93,00:00,"메인 퀘스트\n\n시간 / 00:57\n작곡 / 카토 케이\n편곡 / 카토 케이"
"오를레온",43,01:06,bgm_M119_juke,bgm_M119,00:00,"클랜전 \n\n시간 / 01:06\n작곡 / 쇼지 신고(Cygames)\n편곡 / 니시무라 신고"
"타마키와 미후유의 무인도 0루피 생활",44,01:10,bgm_M121_juke,bgm_M121,00:00,"스토리 이벤트 테마\n-｢번쩍번쩍☆해피니스!｣ 어레인지-\n\n시간 / 01:10\n작곡 / 사이토 유우야\n편곡 / 니시무라 신고"
"섬고래",45,02:35,bgm_M124_juke,bgm_M124,00:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:35\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"번쩍번쩍☆해피니스!",46,01:20,bgm_M146,bgm_M146,00:42,"캐릭터 송\n\n시간 / 01:20\n노래 / 타마키(누마쿠라 마나미)\n미후유(타도코로 아즈사)\n아키노(마츠자키 레이)\n유카리(이마이 아사미)\n작사 / joru\n작곡 / 사이토 유우야\n편곡 / 사이토 유우야"
"새로운 출항",47,01:20,bgm_M179_juke,bgm_M179,00:00,"메인 퀘스트\n\n시간 / 01:20\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"알게티",48,00:58,bgm_M181_juke,bgm_M181,00:00,"클랜전 \n\n시간 / 00:58\n작곡 / 카토 케이\n편곡 / 카토 케이"
"신춘 트윙클 크라이시스!",49,00:58,bgm_M182_juke,bgm_M182,00:00,"스토리 이벤트 테마\n-｢Twinkle Stars｣ 어레인지-\n\n시간 / 00:58\n작곡 / 이시하마 카케루(MONACA)\n편곡 / 히가시오지 켄타"
"사악한 떡의 신 가미",50,02:32,bgm_M183_juke,bgm_M183,00:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:32\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"Twinkle Stars",51,01:24,bgm_M202,bgm_M202,00:45,"캐릭터 송\n\n시간 / 01:24\n노래 / 유이(타네다 리사)\n히요리(토야마 나오)\n레이(하야미 사오리)\n작사 / 노무라 이쿠미(Cygames)\n작곡 / 이시하마 카케루(MONACA)\n편곡 / 이시하마 카케루(MONACA)"
"혹열의 사막",52,01:26,bgm_M94_juke,bgm_M94,00:00,"메인 퀘스트\n\n시간 / 01:26\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"메두사",53,01:25,bgm_M132_juke,bgm_M132,00:00,"클랜전 \n\n시간 / 01:25\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"흑철의 망령(나이트메어)",54,01:29,bgm_M128_juke,bgm_M128,00:00,"스토리 이벤트 테마\n-｢Aloofness Code｣ 어레인지-\n\n시간 / 01:29\n작곡 / 오노 타카미츠\n편곡 / 타다 아키후미"
"리빙 메일",55,02:28,bgm_M131_juke,bgm_M131,00:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:28\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"Aloofness Code",56,01:20,bgm_M154,bgm_M154,00:46,"캐릭터 송\n\n시간 / 01:20\n노래 / 쥰(카와스미 아야코)\n크리스티나(타카하시 치아키)\n토모(치하라 미노리)\n마츠리(시모다 아사미)\n작사 / a*mu\n작곡 / 오노 타카미츠\n편곡 / 타마키 치히로"
"Absolute Secret",57,01:13,bgm_M214,bgm_M214,00:44,"캐릭터 송\n\n시간 / 01:13\n노래 / 캬루(타치바나 리카)\n작사 / corochi(Cygames)\n작곡 / 마부치 나오즈미\n편곡 / 마부치 나오즈미"
"아쿠아 리오스",58,01:00,bgm_M186_juke,bgm_M186,00:00,"클랜전 \n\n시간 / 01:00\n작곡 / 카토 케이\n편곡 / 카토 케이"
"배틀 오브 발렌타인! 마음이 부딪히는 스위트 배틀",59,01:02,bgm_M189_juke,bgm_M189,00:00,"스토리 이벤트 테마\n-｢SUPER CHOCOLATE｣ 어레인지-\n\n시간 / 01:02\n작곡 / 야마자키 신고\n편곡 / 후지와라 히로에"
"어글리 러블리",60,02:24,bgm_M192_juke,bgm_M192,00:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:24\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"SUPER CHOCOLATE",61,01:15,bgm_M200,bgm_M200,00:40,"캐릭터 송\n\n시간 / 01:15\n노래 / 시즈루(나바타메 히토미)\n리노(아스미 카나)\n작사 / 사카이 류지\n작곡 / 야마자키 신고\n편곡 / 야마자키 신고"
"사해 속의 오아시스",62,01:07,bgm_M118_juke,bgm_M118,00:00,"메인 퀘스트\n\n시간 / 01:07\n작곡 / 이시즈카 레이\n편곡 / 이시즈카 레이"
"신기한 숲",63,01:20,bgm_M180_juke,bgm_M180,00:00,"메인 퀘스트\n\n시간 / 01:20\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"토르페돈",64,01:00,bgm_M205_juke,bgm_M205,00:00,"클랜전 \n\n시간 / 01:00\n작곡 / 나카무라 사오리(Cygames)\n편곡 / 나카무라 사오리(Cygames)"
"왕도의 명탐정 한탄하는 추적자(스토커)",65,00:39,bgm_M206_juke,bgm_M206,00:00,"스토리 이벤트 테마\n-｢미해결인 마음｣ 어레인지-\n\n시간 / 00:39\n작곡 / 데구치 료\n편곡 / 쇼지 신고(Cygames)"
"한탄하는 여신",66,02:09,bgm_M209_juke,bgm_M209,00:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:09\n작곡 / 치바 아즈사(Cygames)\n편곡 / 치바 아즈사(Cygames)"
"미해결인 마음",67,01:22,bgm_M222,bgm_M222,00:38,"캐릭터 송\n\n시간 / 01:22\n노래 / 마코토(코마츠 미카코)\n카스미(미나세 이노리)\n작사 / 데구치 료\n작곡 / 데구치 료\n편곡 / 이이다 료타"
"로보리마 습격! 왕도 멸망까지의 카운트다운",68,01:27,bgm_M219_juke,bgm_M219,00:00,"만우절 이벤트\n\n시간 / 01:27\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"로보리마",69,01:38,bgm_M220_juke,bgm_M220,00:00,"만우절 이벤트\n\n시간 / 01:38\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"로보리마~종언~",70,01:12,bgm_M221_juke,bgm_M221,00:00,"만우절 이벤트\n\n시간 / 01:12\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"아스트룸에 피는 쌍륜의 꽃",71,00:55,bgm_M215_juke,bgm_M215,00:00,"스토리 이벤트 테마\n-｢Crossing Destiny｣ 어레인지-\n\n시간 / 00:55\n작곡 / 미야자키 마코토\n편곡 / 나카무라 사오리(Cygames)"
"코어 기가스",72,01:45,bgm_M218_juke,bgm_M218,00:00,"스토리 이벤트 보스 배틀\n\n시간 / 01:45\n작곡 / 나카무라 히로시\n편곡 / 나카무라 히로시"
"Crossing Destiny",73,01:30,bgm_M235,bgm_M235,00:54,"캐릭터 송\n\n시간 / 01:30\n노래 / 앤(히카사 요코)\n글레어(후쿠하라 아야카)\n작사 / 미야자키 마코토\n작곡 / 미야자키 마코토\n편곡 / 미야자키 마코토"
"바위산에 숨어 있는 것",74,00:55,bgm_M232_juke,bgm_M232,00:00,"메인 퀘스트\n\n시간 / 00:55\n작곡 / 니시무라 신고\n편곡 / 니시무라 신고"
"쇼군 여행기 흰 날개의 사무라이",75,00:59,bgm_M223_juke,bgm_M223,00:00,"스토리 이벤트 테마\n-｢흰 날개의 글로리아｣ 어레인지-\n\n시간 / 00:59\n작곡 / 와타나베 체루\n편곡 / 나카무라 히로시"
"아쿠다이칸",76,01:58,bgm_M226_juke,bgm_M226,00:00,"스토리 이벤트 보스 배틀\n\n시간 / 01:58\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"흰 날개의 글로리아",77,01:13,bgm_M236,bgm_M236,00:42,"캐릭터 송\n\n시간 / 01:13\n노래 / 모니카(츠지 아유미)\n유키(오오조라 나오미)\n니논(사토 사토미)\n쿠우카(나가츠마 쥬리)\n아유미(오제키 에리))\n작사 / 이소가이 요시에\n작곡 / 와타나베 체루\n편곡 / 와타나베 체루"
"화산 기슭",78,1:20,bgm_M95_juke,bgm_M95,00:00,"메인 퀘스트\n\n시간 / 01:20\n작곡 / 이토 츠바사\n편곡 / 이토 츠바사"
"척박한 황무지",79,1:02,bgm_M96_juke,bgm_M96,00:00,"메인 퀘스트\n\n시간 / 01:02\n작곡 / 이토 츠바사\n편곡 / 이토 츠바사"
"나태한 미치광이",80,2:33,bgm_M231_juke,bgm_M231,00:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:33\n작곡 / 마츠오 하야토\n편곡 / 마츠오 하야토"
"북소리 울리는 숲",81,1:08,bgm_M233_juke,bgm_M233,00:00,"메인 퀘스트\n\n시간 / 01:08\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"스즈나 레인보우 스테이지!",82,0:52,bgm_M237_juke,bgm_M237,00:00,"스토리 이벤트 테마\n-｢발돋움 First Kiss｣ 어레인지-\n\n시간 / 00:52\n작곡 / 시타라 테츠야\n편곡 / 쇼지 신고(Cygames)"
"비의 신",83,2:47,bgm_M240_juke,bgm_M240,00:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:47\n작곡 / 사와시타 아오이\n편곡 / 히가시오지 켄타"
"발돋움 First Kiss",84,1:19,bgm_M252,bgm_M252,00:45,"캐릭터 송\n\n시간 / 01:19\n노래 / 이오(이토 시즈카)\n스즈나(우에사카 스미레)\n미사키(쿠노 미사키)\n작사 / 노무라 이쿠미&타키자와 카즈야(Cygames)\n작곡 / 시타라 테츠야\n편곡 / 시타라 테츠야"
"오빠 쟁탈! 시즈루 돕기",85,00:31,bgm_M199_juke,bgm_M199,00:00,"미니 게임\n-｢SUPER CHOCOLATE｣ 어레인지-\n\n시간 / 00:31\n작곡 / 야마자키 신고\n편곡 / 나카무라 사오리(Cygames)"
"오빠 쟁탈! 에리코 돕기",86,00:34,bgm_M198_juke,bgm_M198,00:00,"미니 게임\n-｢SUPER CHOCOLATE｣ 어레인지-\n\n시간 / 00:34\n작곡 / 야마자키 신고\n편곡 / 쇼지 신고(Cygames)"
"한여름의 마호마호 왕국 물가의 소울 서머!",87,00:57,bgm_M245_juke,bgm_M245,00:00,"스토리 이벤트 테마\n-｢We Are Golden｣ 어레인지-\n\n시간 / 00:57\n작곡 / TAKU INOUE\n편곡 / 이레이 칸(Cygames)"
"마지문",88,02:03,bgm_M248_juke,bgm_M248,00:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:03\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"We Are Golden",89,01:18,bgm_M263,bgm_M263,00:44,"캐릭터 송\n\n시간 / 01:18\n노래 / 마호(우치다 마아야)\n마코토(코마츠 미카코)\n카오리(타카모리 나츠미)\n작사 / MCTC\n작곡 / TAKU INOUE\n편곡 / TAKU INOUE"
"쿠우카 대회전",90,0:30,bgm_M227_juke,bgm_M227,0:00,"미니 게임\n-｢흰 날개의 글로리아｣ 어레인지-\n\n시간 / 00:30\n작곡 / 와타나베 체루\n편곡 / 나카무라 사오리(Cygames)"
"숲의 겁쟁이와 성스러운 학교의 이단아",91,0:57,bgm_M254_juke,bgm_M254,0:00,"스토리 이벤트 테마\n-｢단짝 센세이션｣ 어레인지-\n\n시간 / 00:57\n작곡 / 오오쿠보 카오루\n편곡 / 나카무라 사오리(Cygames)"
"느긋한 만드라고라",92,2:45,bgm_M257_juke,bgm_M257,0:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:45\n작곡 / 사와시타 아오이\n편곡 / 히가시오지 켄타"
"단짝 센세이션",93,01:20,bgm_M272,bgm_M272,00:47,"캐릭터 송\n\n시간 / 01:20\n노래 / 치에루(사쿠라 아야네)\n클로에(타네자키 아츠미)\n유니(코하라 코노미)\n작사 / 이소가이 요시에\n작곡 / 오오쿠보 카오루\n편곡 / 오오쿠보 카오루"
"불온한 마음을 극복하고",94,1:00,bgm_M260_juke,bgm_M260,0:00,"메인 퀘스트\n\n시간 / 01:00\n작곡 / 이레이 칸(Cygames)\n편곡 / 이레이 칸(Cygames)"
"카오리의 마부이식 공수도장",95,0:34,bgm_M249_juke,bgm_M249,0:00,"미니 게임\n-｢We Are Golden｣ 어레인지-\n\n시간 / 00:34\n작곡 / TAKU INOUE\n편곡 / 나카무라 사오리(Cygames)"
"리틀 브레이브 할로윈 나이트!",96,0:52,bgm_M265_juke,bgm_M265,0:00,"스토리 이벤트 테마\n-｢트릭 홀릭｣ 어레인지-\n\n시간 / 00:52\n작곡 / 미아자키 마코토\n편곡 / 나카무라 사오리(Cygames)"
"팬텀바론",97,2:50,bgm_M268_juke,bgm_M268,0:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:50\n작곡 / 치바 아즈사(Cygames)\n편곡 / 치바 아즈사(Cygames)"
"트릭 홀릭",98,1:24,bgm_M280,bgm_M280,0:46,"캐릭터 송\n\n시간 / 01:24\n노래 / 쿄우카(오구라 유이)\n미소기(모로호시 스미레)\n미미(히다카 리나)\n작사 / 미아자키 마코토\n작곡 / 미아자키 마코토\n편곡 / 미아자키 마코토"
"질척거리는 숲 너머에",99,1:14,bgm_M278_juke,bgm_M278,0:00,"메인 퀘스트\n\n시간 / 0:14\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"대격전! 끝말잇기 드래곤즈",100,0:48,bgm_M277_juke,bgm_M277,0:00,"미니 게임\n-｢in flames｣ 어레인지-\n\n시간 / 00:48\n작곡 / RㆍOㆍN\n편곡 / 히가시오지 켄타"
"드래곤 익스플로러즈",101,1:07,bgm_M273_juke,bgm_M273,0:00,"스토리 이벤트 테마\n-｢in flames｣ 어레인지-\n\n시간 / 01:07\n작곡 / RㆍOㆍN\n편곡 / 히가시오지 켄타"
"모조 드래곤",102,2:29,bgm_M276_juke,bgm_M276,0:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:29\n작곡 / 사와시타 아오이\n편곡 / 히가시오지 켄타"
"in flames",103,1:28,bgm_M291,bgm_M291,0:56,"캐릭터 송\n\n시간 / 01:28\n노래 / 이노리(후지타 아카네)\n카야(코이치 마코토)\n호마레(오오니시 사오리)\n작사 / eNu\n작곡 / RㆍOㆍN\n편곡 / RㆍOㆍN"
"새로운 힘을 위한 시련",104,1:13,bgm_M259_juke,bgm_M259,0:00,"해방 퀘스트\n\n시간 / 01:13\n작곡 / 나가도 치하루(Cygames)\n편곡 / 나가도 치하루(Cygames)"
"프레젠트 패닉! 랜드솔의 산타들",105,0:58,bgm_M281_juke,bgm_M281,0:00,"스토리 이벤트 테마\n-｢Call Me Darling!｣ 어레인지-\n\n시간 / 00:58\n작곡 / 이케다 켄토(Cygames)\n편곡 / 나카무라 사오리(Cygames)"
"순록 벤데타",106,1:48,bgm_M284_juke,bgm_M284,0:00,"스토리 이벤트 보스 배틀\n\n시간 / 01:48\n작곡 / 이레이 칸(Cygames)\n편곡 / 이레이 칸(Cygames)"
"Call Me Darling!",107,1:30,bgm_M285,bgm_M285,0:54,"캐릭터 송\n\n시간 / 01:30\n노래 / 노조미(히카사 요코)\n치카(후쿠하라 아야카)\n츠무기(키도 이부키)\n작사 / 노무라 이쿠미(Cygames)\n작곡 / 이케다 켄토(Cygames)\n편곡 / 이케다 켄토(Cygames)"
"왕도 종말 결전",108,1:45,bgm_M300_juke,bgm_M300,0:00,"왕도 종말 결전\n\n시간 / 01:45\n작곡 / 치바 아즈사(Cygames)\n편곡 / 치바 아즈사(Cygames)"
"황제를 섬기는 자신과의 싸움",109,2:15,bgm_M301_juke,bgm_M301,0:00,"왕도 종말 결전 보스 배틀\n\n시간 / 02:15\n작곡 / 치바 아즈사(Cygames)\n편곡 / 치바 아즈사(Cygames)"
"신이 된 자와의 결전",110,2:45,bgm_M299_juke,bgm_M299,0:00,"왕도 종말 결전 보스 배틀\n-｢Lost Princess｣「진정한 패황」 어레인지-\n\n시간 / 02:45\n작곡 / 타나카 코헤이, 니시키 야스노리\n편곡 / 히가시오지 켄타"
"질주! 랜드솔 길드 레이스",111,1:08,bgm_M294_juke,bgm_M294,0:00,"스토리 이벤트 테마\n-｢CHOE＊GO 스타트 대시｣ 어레인지-\n\n시간 / 01:08\n작곡 / 오쿠이 코스케\n편곡 / 이레이 칸(Cygames)"
"산신령",112,2:00,bgm_M297_juke,bgm_M297,0:00,"스토리 이벤트 보스 배틀\n\n시간 / 02:00\n작곡 / 나가도 치하루(Cygames)\n편곡 / 나가도 치하루(Cygames)"
"CHOE＊GO 스타트 대시",113,1:25,bgm_M327,bgm_M327,1:00,"캐릭터 송\n\n시간 / 01:25\n노래 / 페코린느(MㆍAㆍO)\n캬루(타치바나 리카)\n콧코로(이토 미쿠)\n스즈메(유우키 아오이)\n작사 / KOCHO\n작곡 / 오쿠이 코스케\n편곡 / 오쿠이 코스케"
"드넓은 바다를 바라보며",114,1:25,bgm_M293_juke,bgm_M293,0:00,"메인 퀘스트\n\n시간 / 01:25\n작곡 / 나가도 치하루(Cygames)\n편곡 / 나가도 치하루(Cygames)"
"마법소녀 두 사람은 미스티&퓨어리",115,1:06,bgm_M316_juke,bgm_M316,0:00,"스토리 이벤트 테마\n-｢나뭇잎 사이로 비치는 햇빛 몽타주｣ 어레인지-\n\n시간 / 01:06\n작곡 / 와타나베 체루\n편곡 / 카토 요시히사(Cygames)"
"안티 비스트",116,1:28,bgm_M319_juke,bgm_M319,0:00,"스토리 이벤트 보스 배틀\n\n시간 / 01:28\n작곡 / 나카무라 히로시\n편곡 / 나카무라 히로시"
"나뭇잎 사이로 비치는 햇빛 몽타주",117,1:32,bgm_M340,bgm_M340,0:50,"캐릭터 송\n\n시간 / 01:32\n노래 / 카스미(미나세 이노리)\n시오리(코시미즈 아미)\n작사 / 이소가이 요시에\n작곡 / 와타나베 체루\n편곡 / 와타나베 체루"
"목표는 아이돌!",118,0:51,bgm_M330_juke,bgm_M330,0:00,"스토리 이벤트 테마\n\n시간 / 00:51\n작곡 / 나카무라 사오리(Cygames)\n편곡 / 나카무라 사오리(Cygames)"
"추억의 발자국",119,1:34,bgm_M333_juke,bgm_M333,0:00,"메모리얼 맵\n\n시간 / 01:34\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
