cue_id,sheet_id,name,detail,total_playing_time,music_id,listen_start_time
bgm_M115_juke,bgm_M115,"카르키노스","클랜전 \n\n시간 / 01:02\n작곡 / 시라이 유우키(Cygames)\n편곡 / 시라이 유우키(Cygames)",01:02,34,00:00
bgm_M112_juke,bgm_M112,"데인저러스 바캉스! 해변의 미식가 프린세스","스토리 이벤트 테마\n-｢웃음 가득한 우리 집｣ 어레인지-\n\n시간 / 01:05\n작곡 / Lucas\n편곡 / 니시무라 신고",01:05,35,00:00
bgm_M116_juke,bgm_M116,"텐타퍼스","스토리 이벤트 보스 배틀\n\n시간 / 02:10\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",02:10,36,00:00
bgm_M147,bgm_M147,"웃음 가득한 우리 집","캐릭터 송\n\n시간 / 01:40\n노래 / 사렌(호리에 유이)\n스즈메(유우키 아오이)\n작사 / Mitsu\n작곡 / Lucas\n편곡 / Lucas",01:40,37,01:00
bgm_M175_juke,bgm_M175,"사지타리우스","클랜전 \n\n시간 / 00:45\n작곡 / 쇼지 신고(Cygames)\n편곡 / 쇼지 신고(Cygames)",00:45,38,00:00
bgm_M171_juke,bgm_M171,"망각의 캐럴","스토리 이벤트 테마\n-｢Ding Dong Holy Night♪｣ 어레인지-\n\n시간 / 00:55\n작곡 / 마부치 나오즈미\n편곡 / 나카무라 사오리(Cygames)",00:55,39,00:00
bgm_M172_juke,bgm_M172,"미스티","스토리 이벤트 보스 배틀\n\n시간 / 02:57\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",02:57,40,00:00
bgm_M187,bgm_M187,"Ding Dong Holy Night♪","캐릭터 송\n\n시간 / 01:28\n노래 / 아야네(세리자와 유우)\n쿠루미(우에다 카나)\n작사 / 이소가이 요시에\n작곡 / 마부치 나오즈미\n편곡 / 마부치 나오즈미",01:28,41,00:42
bgm_M93_juke,bgm_M93,"험난한 사막","메인 퀘스트\n\n시간 / 00:57\n작곡 / 카토 케이\n편곡 / 카토 케이",00:57,42,00:00
bgm_M119_juke,bgm_M119,"오를레온","클랜전 \n\n시간 / 01:06\n작곡 / 쇼지 신고(Cygames)\n편곡 / 니시무라 신고",01:06,43,00:00
bgm_M121_juke,bgm_M121,"타마키와 미후유의 무인도 0루피 생활","스토리 이벤트 테마\n-｢번쩍번쩍☆해피니스!｣ 어레인지-\n\n시간 / 01:10\n작곡 / 사이토 유우야\n편곡 / 니시무라 신고",01:10,44,00:00
bgm_M124_juke,bgm_M124,"섬고래","스토리 이벤트 보스 배틀\n\n시간 / 02:35\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",02:35,45,00:00
bgm_M146,bgm_M146,"번쩍번쩍☆해피니스!","캐릭터 송\n\n시간 / 01:20\n노래 / 타마키(누마쿠라 마나미)\n미후유(타도코로 아즈사)\n아키노(마츠자키 레이)\n유카리(이마이 아사미)\n작사 / joru\n작곡 / 사이토 유우야\n편곡 / 사이토 유우야",01:20,46,00:42
bgm_M179_juke,bgm_M179,"새로운 출항","메인 퀘스트\n\n시간 / 01:20\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",01:20,47,00:00
bgm_M181_juke,bgm_M181,"알게티","클랜전 \n\n시간 / 00:58\n작곡 / 카토 케이\n편곡 / 카토 케이",00:58,48,00:00
bgm_M182_juke,bgm_M182,"신춘 트윙클 크라이시스!","스토리 이벤트 테마\n-｢Twinkle Stars｣ 어레인지-\n\n시간 / 00:58\n작곡 / 이시하마 카케루(MONACA)\n편곡 / 히가시오지 켄타",00:58,49,00:00
bgm_M183_juke,bgm_M183,"사악한 떡의 신 가미","스토리 이벤트 보스 배틀\n\n시간 / 02:32\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",02:32,50,00:00
bgm_M202,bgm_M202,"Twinkle Stars","캐릭터 송\n\n시간 / 01:24\n노래 / 유이(타네다 리사)\n히요리(토야마 나오)\n레이(하야미 사오리)\n작사 / 노무라 이쿠미(Cygames)\n작곡 / 이시하마 카케루(MONACA)\n편곡 / 이시하마 카케루(MONACA)",01:24,51,00:45
bgm_M94_juke,bgm_M94,"혹열의 사막","메인 퀘스트\n\n시간 / 01:26\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",01:26,52,00:00
bgm_M132_juke,bgm_M132,"메두사","클랜전 \n\n시간 / 01:25\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",01:25,53,00:00
bgm_M128_juke,bgm_M128,"흑철의 망령(나이트메어)","스토리 이벤트 테마\n-｢Aloofness Code｣ 어레인지-\n\n시간 / 01:29\n작곡 / 오노 타카미츠\n편곡 / 타다 아키후미",01:29,54,00:00
bgm_M131_juke,bgm_M131,"리빙 메일","스토리 이벤트 보스 배틀\n\n시간 / 02:28\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",02:28,55,00:00
bgm_M154,bgm_M154,"Aloofness Code","캐릭터 송\n\n시간 / 01:20\n노래 / 쥰(카와스미 아야코)\n크리스티나(타카하시 치아키)\n토모(치하라 미노리)\n마츠리(시모다 아사미)\n작사 / a*mu\n작곡 / 오노 타카미츠\n편곡 / 타마키 치히로",01:20,56,00:46
bgm_M214,bgm_M214,"Absolute Secret","캐릭터 송\n\n시간 / 01:13\n노래 / 캬루(타치바나 리카)\n작사 / corochi(Cygames)\n작곡 / 마부치 나오즈미\n편곡 / 마부치 나오즈미",01:13,57,00:44
bgm_M186_juke,bgm_M186,"아쿠아 리오스","클랜전 \n\n시간 / 01:00\n작곡 / 카토 케이\n편곡 / 카토 케이",01:00,58,00:00
bgm_M189_juke,bgm_M189,"배틀 오브 발렌타인! 마음이 부딪히는 스위트 배틀","스토리 이벤트 테마\n-｢SUPER CHOCOLATE｣ 어레인지-\n\n시간 / 01:02\n작곡 / 야마자키 신고\n편곡 / 후지와라 히로에",01:02,59,00:00
bgm_M192_juke,bgm_M192,"어글리 러블리","스토리 이벤트 보스 배틀\n\n시간 / 02:24\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",02:24,60,00:00
bgm_M200,bgm_M200,"SUPER CHOCOLATE","캐릭터 송\n\n시간 / 01:15\n노래 / 시즈루(나바타메 히토미)\n리노(아스미 카나)\n작사 / 사카이 류지\n작곡 / 야마자키 신고\n편곡 / 야마자키 신고",01:15,61,00:40
bgm_M118_juke,bgm_M118,"사해 속의 오아시스","메인 퀘스트\n\n시간 / 01:07\n작곡 / 이시즈카 레이\n편곡 / 이시즈카 레이",01:07,62,00:00
bgm_M180_juke,bgm_M180,"신기한 숲","메인 퀘스트\n\n시간 / 01:20\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",01:20,63,00:00
bgm_M205_juke,bgm_M205,"토르페돈","클랜전 \n\n시간 / 01:00\n작곡 / 나카무라 사오리(Cygames)\n편곡 / 나카무라 사오리(Cygames)",01:00,64,00:00
bgm_M206_juke,bgm_M206,"왕도의 명탐정 한탄하는 추적자(스토커)","스토리 이벤트 테마\n-｢미해결인 마음｣ 어레인지-\n\n시간 / 00:39\n작곡 / 데구치 료\n편곡 / 쇼지 신고(Cygames)",00:39,65,00:00
bgm_M209_juke,bgm_M209,"한탄하는 여신","스토리 이벤트 보스 배틀\n\n시간 / 02:09\n작곡 / 치바 아즈사(Cygames)\n편곡 / 치바 아즈사(Cygames)",02:09,66,00:00
bgm_M222,bgm_M222,"미해결인 마음","캐릭터 송\n\n시간 / 01:22\n노래 / 마코토(코마츠 미카코)\n카스미(미나세 이노리)\n작사 / 데구치 료\n작곡 / 데구치 료\n편곡 / 이이다 료타",01:22,67,00:38
bgm_M219_juke,bgm_M219,"로보리마 습격! 왕도 멸망까지의 카운트다운","만우절 이벤트\n\n시간 / 01:27\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",01:27,68,00:00
bgm_M220_juke,bgm_M220,"로보리마","만우절 이벤트\n\n시간 / 01:38\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",01:38,69,00:00
bgm_M221_juke,bgm_M221,"로보리마~종언~","만우절 이벤트\n\n시간 / 01:12\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",01:12,70,00:00
bgm_M215_juke,bgm_M215,"아스트룸에 피는 쌍륜의 꽃","스토리 이벤트 테마\n-｢Crossing Destiny｣ 어레인지-\n\n시간 / 00:55\n작곡 / 미야자키 마코토\n편곡 / 나카무라 사오리(Cygames)",00:55,71,00:00
bgm_M218_juke,bgm_M218,"코어 기가스","스토리 이벤트 보스 배틀\n\n시간 / 01:45\n작곡 / 나카무라 히로시\n편곡 / 나카무라 히로시",01:45,72,00:00
bgm_M235,bgm_M235,"Crossing Destiny","캐릭터 송\n\n시간 / 01:30\n노래 / 앤(히카사 요코)\n글레어(후쿠하라 아야카)\n작사 / 미야자키 마코토\n작곡 / 미야자키 마코토\n편곡 / 미야자키 마코토",01:30,73,00:54
bgm_M232_juke,bgm_M232,"바위산에 숨어 있는 것","메인 퀘스트\n\n시간 / 00:55\n작곡 / 니시무라 신고\n편곡 / 니시무라 신고",00:55,74,00:00
bgm_M223_juke,bgm_M223,"쇼군 여행기 흰 날개의 사무라이","스토리 이벤트 테마\n-｢흰 날개의 글로리아｣ 어레인지-\n\n시간 / 00:59\n작곡 / 와타나베 체루\n편곡 / 나카무라 히로시",00:59,75,00:00
bgm_M226_juke,bgm_M226,"아쿠다이칸","스토리 이벤트 보스 배틀\n\n시간 / 01:58\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",01:58,76,00:00
bgm_M236,bgm_M236,"흰 날개의 글로리아","캐릭터 송\n\n시간 / 01:13\n노래 / 모니카(츠지 아유미)\n유키(오오조라 나오미)\n니논(사토 사토미)\n쿠우카(나가츠마 쥬리)\n아유미(오제키 에리))\n작사 / 이소가이 요시에\n작곡 / 와타나베 체루\n편곡 / 와타나베 체루",01:13,77,00:42
bgm_M95_juke,bgm_M95,"화산 기슭","메인 퀘스트\n\n시간 / 01:20\n작곡 / 이토 츠바사\n편곡 / 이토 츠바사",1:20,78,00:00
bgm_M96_juke,bgm_M96,"척박한 황무지","메인 퀘스트\n\n시간 / 01:02\n작곡 / 이토 츠바사\n편곡 / 이토 츠바사",1:02,79,00:00
bgm_M231_juke,bgm_M231,"나태한 미치광이","스토리 이벤트 보스 배틀\n\n시간 / 02:33\n작곡 / 마츠오 하야토\n편곡 / 마츠오 하야토",2:33,80,00:00
bgm_M233_juke,bgm_M233,"북소리 울리는 숲","메인 퀘스트\n\n시간 / 01:08\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",1:08,81,00:00
bgm_M237_juke,bgm_M237,"스즈나 레인보우 스테이지!","스토리 이벤트 테마\n-｢발돋움 First Kiss｣ 어레인지-\n\n시간 / 00:52\n작곡 / 시타라 테츠야\n편곡 / 쇼지 신고(Cygames)",0:52,82,00:00
bgm_M240_juke,bgm_M240,"비의 신","스토리 이벤트 보스 배틀\n\n시간 / 02:47\n작곡 / 사와시타 아오이\n편곡 / 히가시오지 켄타",2:47,83,00:00
bgm_M252,bgm_M252,"발돋움 First Kiss","캐릭터 송\n\n시간 / 01:19\n노래 / 이오(이토 시즈카)\n스즈나(우에사카 스미레)\n미사키(쿠노 미사키)\n작사 / 노무라 이쿠미&타키자와 카즈야(Cygames)\n작곡 / 시타라 테츠야\n편곡 / 시타라 테츠야",1:19,84,00:45
bgm_M199_juke,bgm_M199,"오빠 쟁탈! 시즈루 돕기","미니 게임\n-｢SUPER CHOCOLATE｣ 어레인지-\n\n시간 / 00:31\n작곡 / 야마자키 신고\n편곡 / 나카무라 사오리(Cygames)",00:31,85,00:00
bgm_M198_juke,bgm_M198,"오빠 쟁탈! 에리코 돕기","미니 게임\n-｢SUPER CHOCOLATE｣ 어레인지-\n\n시간 / 00:34\n작곡 / 야마자키 신고\n편곡 / 쇼지 신고(Cygames)",00:34,86,00:00
bgm_M245_juke,bgm_M245,"한여름의 마호마호 왕국 물가의 소울 서머!","스토리 이벤트 테마\n-｢We Are Golden｣ 어레인지-\n\n시간 / 00:57\n작곡 / TAKU INOUE\n편곡 / 이레이 칸(Cygames)",00:57,87,00:00
bgm_M248_juke,bgm_M248,"마지문","스토리 이벤트 보스 배틀\n\n시간 / 02:03\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",02:03,88,00:00
bgm_M263,bgm_M263,"We Are Golden","캐릭터 송\n\n시간 / 01:18\n노래 / 마호(우치다 마아야)\n마코토(코마츠 미카코)\n카오리(타카모리 나츠미)\n작사 / MCTC\n작곡 / TAKU INOUE\n편곡 / TAKU INOUE",01:18,89,00:44
bgm_M227_juke,bgm_M227,"쿠우카 대회전","미니 게임\n-｢흰 날개의 글로리아｣ 어레인지-\n\n시간 / 00:30\n작곡 / 와타나베 체루\n편곡 / 나카무라 사오리(Cygames)",0:30,90,0:00
bgm_M254_juke,bgm_M254,"숲의 겁쟁이와 성스러운 학교의 이단아","스토리 이벤트 테마\n-｢단짝 센세이션｣ 어레인지-\n\n시간 / 00:57\n작곡 / 오오쿠보 카오루\n편곡 / 나카무라 사오리(Cygames)",0:57,91,0:00
bgm_M257_juke,bgm_M257,"느긋한 만드라고라","스토리 이벤트 보스 배틀\n\n시간 / 02:45\n작곡 / 사와시타 아오이\n편곡 / 히가시오지 켄타",2:45,92,0:00
bgm_M272,bgm_M272,"단짝 센세이션","캐릭터 송\n\n시간 / 01:20\n노래 / 치에루(사쿠라 아야네)\n클로에(타네자키 아츠미)\n유니(코하라 코노미)\n작사 / 이소가이 요시에\n작곡 / 오오쿠보 카오루\n편곡 / 오오쿠보 카오루",01:20,93,00:47
bgm_M260_juke,bgm_M260,"불온한 마음을 극복하고","메인 퀘스트\n\n시간 / 01:00\n작곡 / 이레이 칸(Cygames)\n편곡 / 이레이 칸(Cygames)",1:00,94,0:00
bgm_M249_juke,bgm_M249,"카오리의 마부이식 공수도장","미니 게임\n-｢We Are Golden｣ 어레인지-\n\n시간 / 00:34\n작곡 / TAKU INOUE\n편곡 / 나카무라 사오리(Cygames)",0:34,95,0:00
bgm_M265_juke,bgm_M265,"리틀 브레이브 할로윈 나이트!","스토리 이벤트 테마\n-｢트릭 홀릭｣ 어레인지-\n\n시간 / 00:52\n작곡 / 미아자키 마코토\n편곡 / 나카무라 사오리(Cygames)",0:52,96,0:00
bgm_M268_juke,bgm_M268,"팬텀바론","스토리 이벤트 보스 배틀\n\n시간 / 02:50\n작곡 / 치바 아즈사(Cygames)\n편곡 / 치바 아즈사(Cygames)",2:50,97,0:00
bgm_M280,bgm_M280,"트릭 홀릭","캐릭터 송\n\n시간 / 01:24\n노래 / 쿄우카(오구라 유이)\n미소기(모로호시 스미레)\n미미(히다카 리나)\n작사 / 미아자키 마코토\n작곡 / 미아자키 마코토\n편곡 / 미아자키 마코토",1:24,98,0:46
bgm_M278_juke,bgm_M278,"질척거리는 숲 너머에","메인 퀘스트\n\n시간 / 0:14\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",1:14,99,0:00
bgm_M277_juke,bgm_M277,"대격전! 끝말잇기 드래곤즈","미니 게임\n-｢in flames｣ 어레인지-\n\n시간 / 00:48\n작곡 / RㆍOㆍN\n편곡 / 히가시오지 켄타",0:48,100,0:00
bgm_M273_juke,bgm_M273,"드래곤 익스플로러즈","스토리 이벤트 테마\n-｢in flames｣ 어레인지-\n\n시간 / 01:07\n작곡 / RㆍOㆍN\n편곡 / 히가시오지 켄타",1:07,101,0:00
bgm_M276_juke,bgm_M276,"모조 드래곤","스토리 이벤트 보스 배틀\n\n시간 / 02:29\n작곡 / 사와시타 아오이\n편곡 / 히가시오지 켄타",2:29,102,0:00
bgm_M291,bgm_M291,"in flames","캐릭터 송\n\n시간 / 01:28\n노래 / 이노리(후지타 아카네)\n카야(코이치 마코토)\n호마레(오오니시 사오리)\n작사 / eNu\n작곡 / RㆍOㆍN\n편곡 / RㆍOㆍN",1:28,103,0:56
bgm_M259_juke,bgm_M259,"새로운 힘을 위한 시련","해방 퀘스트\n\n시간 / 01:13\n작곡 / 나가도 치하루(Cygames)\n편곡 / 나가도 치하루(Cygames)",1:13,104,0:00
bgm_M281_juke,bgm_M281,"프레젠트 패닉! 랜드솔의 산타들","스토리 이벤트 테마\n-｢Call Me Darling!｣ 어레인지-\n\n시간 / 00:58\n작곡 / 이케다 켄토(Cygames)\n편곡 / 나카무라 사오리(Cygames)",0:58,105,0:00
bgm_M284_juke,bgm_M284,"순록 벤데타","스토리 이벤트 보스 배틀\n\n시간 / 01:48\n작곡 / 이레이 칸(Cygames)\n편곡 / 이레이 칸(Cygames)",1:48,106,0:00
bgm_M285,bgm_M285,"Call Me Darling!","캐릭터 송\n\n시간 / 01:30\n노래 / 노조미(히카사 요코)\n치카(후쿠하라 아야카)\n츠무기(키도 이부키)\n작사 / 노무라 이쿠미(Cygames)\n작곡 / 이케다 켄토(Cygames)\n편곡 / 이케다 켄토(Cygames)",1:30,107,0:54
bgm_M300_juke,bgm_M300,"왕도 종말 결전","왕도 종말 결전\n\n시간 / 01:45\n작곡 / 치바 아즈사(Cygames)\n편곡 / 치바 아즈사(Cygames)",1:45,108,0:00
bgm_M301_juke,bgm_M301,"황제를 섬기는 자신과의 싸움","왕도 종말 결전 보스 배틀\n\n시간 / 02:15\n작곡 / 치바 아즈사(Cygames)\n편곡 / 치바 아즈사(Cygames)",2:15,109,0:00
bgm_M299_juke,bgm_M299,"신이 된 자와의 결전","왕도 종말 결전 보스 배틀\n-｢Lost Princess｣「진정한 패황」 어레인지-\n\n시간 / 02:45\n작곡 / 타나카 코헤이, 니시키 야스노리\n편곡 / 히가시오지 켄타",2:45,110,0:00
bgm_M294_juke,bgm_M294,"질주! 랜드솔 길드 레이스","스토리 이벤트 테마\n-｢CHOE＊GO 스타트 대시｣ 어레인지-\n\n시간 / 01:08\n작곡 / 오쿠이 코스케\n편곡 / 이레이 칸(Cygames)",1:08,111,0:00
bgm_M297_juke,bgm_M297,"산신령","스토리 이벤트 보스 배틀\n\n시간 / 02:00\n작곡 / 나가도 치하루(Cygames)\n편곡 / 나가도 치하루(Cygames)",2:00,112,0:00
bgm_M327,bgm_M327,"CHOE＊GO 스타트 대시","캐릭터 송\n\n시간 / 01:25\n노래 / 페코린느(MㆍAㆍO)\n캬루(타치바나 리카)\n콧코로(이토 미쿠)\n스즈메(유우키 아오이)\n작사 / KOCHO\n작곡 / 오쿠이 코스케\n편곡 / 오쿠이 코스케",1:25,113,1:00
bgm_M293_juke,bgm_M293,"드넓은 바다를 바라보며","메인 퀘스트\n\n시간 / 01:25\n작곡 / 나가도 치하루(Cygames)\n편곡 / 나가도 치하루(Cygames)",1:25,114,0:00
bgm_M316_juke,bgm_M316,"마법소녀 두 사람은 미스티&퓨어리","스토리 이벤트 테마\n-｢나뭇잎 사이로 비치는 햇빛 몽타주｣ 어레인지-\n\n시간 / 01:06\n작곡 / 와타나베 체루\n편곡 / 카토 요시히사(Cygames)",1:06,115,0:00
bgm_M319_juke,bgm_M319,"안티 비스트","스토리 이벤트 보스 배틀\n\n시간 / 01:28\n작곡 / 나카무라 히로시\n편곡 / 나카무라 히로시",1:28,116,0:00
bgm_M340,bgm_M340,"나뭇잎 사이로 비치는 햇빛 몽타주","캐릭터 송\n\n시간 / 01:32\n노래 / 카스미(미나세 이노리)\n시오리(코시미즈 아미)\n작사 / 이소가이 요시에\n작곡 / 와타나베 체루\n편곡 / 와타나베 체루",1:32,117,0:50
bgm_M330_juke,bgm_M330,"목표는 아이돌!","스토리 이벤트 테마\n\n시간 / 00:51\n작곡 / 나카무라 사오리(Cygames)\n편곡 / 나카무라 사오리(Cygames)",0:51,118,0:00
bgm_M333_juke,bgm_M333,"추억의 발자국","메모리얼 맵\n\n시간 / 01:34\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타",1:34,119,0:00
bgm_M57_juke,bgm_M57,"프린세스 나이트","메인 스토리\n\n시간 / 02:24\n작곡 / 니시키 야스노리\n편곡 / 니시키 야스노리",2:24,120,0:00
bgm_M343_juke,bgm_M343,"베푸는 재단과 성스러운 학교의 이단아","스토리 이벤트 테마\n-｢청춘 스피너｣ 어레인지-\n\n시간 / 01:07\n작곡 / 무츠키 슈헤이\n편곡 / 사와시타 아오이",1:07,121,0:00
