param_01,param_04,param_06,param_02,param_05,param_07,command_type,drama_id,command_id,param_08,param_03
102001,-263,0,1,1,"",31,10201,1102010005,"",1500
102002,0,0,2,1,"",31,10201,1102010006,"",0
102003,-136,0,3,1,"",31,10201,1102010007,"",-132
102004,0,0,4,1,"",31,10201,1102010008,"",0
1,0,0,10,1,"",31,10201,1102010009,"",0
2,0,0,20,1,"",31,10201,1102010010,"",0
3,0,0,30,1,"",31,10201,1102010011,"",0
0,"","",0,"","",91,10201,1102010012,"",""
0,"","",1,"","",32,10201,1102010013,"",""
10,"","",1,"","",32,10201,1102010014,"",""
se_caravan,"","",se_caravan_dice_get_intro,"","",23,10201,1102010015,"",0
1,"",0,getDice_idle,"","",3,10201,1102010016,"",1
100,eat_loop,0,run_getDice,1,0,3,10201,1102010017,"",0
1,"","",1,"","",32,10201,1102010018,"",""
100,2,"",344,11,"",2,10201,1102010019,"",-263
1,2,"",344,11,"",33,10201,1102010020,"",-263
2,"","",1,"","",32,10201,1102010021,"",""
1.7,"","",0,"","",93,10201,1102010022,"",""
1,"",0.2,getDice_curious,"",0,3,10201,1102010023,"",1
vo_caravan,0,"",vo_caravan_event_002_000,"","",21,10201,1102010024,"",0
1.5,"","",0,"","",93,10201,1102010025,"",""
se_caravan,"","",se_caravan_dice_get_outro_1,"","",23,10201,1102010026,"",0
vo_caravan,0.1,"",vo_caravan_event_002_001,"","",21,10201,1102010027,"",0
100,"",0.1,spit_in,"","",3,10201,1102010028,"",0
2,"",0,getDice_1,"","",3,10201,1102010029,"",0
1,"",0.1,getDice_panic_1,"","",3,10201,1102010030,"",0
0.5,"","",0,"","",93,10201,1102010031,"",""
100,idle_single,0,spit_out,1,0,3,10201,1102010032,"",0
1.4,"","",0,"","",93,10201,1102010033,"",""
100,idle_single,0.2,joy_single,1,0,3,10201,1102010034,"",0
0.1,"","",0,"","",93,10201,1102010035,"",""
3,"","",1,"","",32,10201,1102010036,"",""
0.5,"","",0,"","",93,10201,1102010037,"",""
vo_caravan,0,"",vo_caravan_event_002_002,"","",21,10201,1102010038,"",0
1.3,"","",0,"","",93,10201,1102010039,"",""
1102010041,"","",0,"","",101,10201,1102010040,"",""
4,"","",1,"","",35,10201,1102010041,"",""
4,"","",1,"","",32,10201,1102010042,"",""
20,"","",1,"","",32,10201,1102010043,"",""
1,"","",0,"","",32,10201,1102010044,"",""
0.4,"","",0,"","",93,10201,1102010045,"",""
"","","","","","",92,10201,1102010046,"",""
30,"","",1,"","",35,10201,1102010047,"",""
30,"","",1,"","",32,10201,1102010048,"",""
0.2,"","",0,"","",93,10201,1102010049,"",""
1,1,0,1,0,0,6,10201,1102010050,"",1
2,1,0,1,0,0,6,10201,1102010051,"",1
100,1,0,1,0,0,6,10201,1102010052,"",1
0,"","",0,"","",32,10201,1102010053,"",""
2,"","",0,"","",32,10201,1102010054,"",""
3,"","",0,"","",32,10201,1102010055,"",""
4,"","",0,"","",32,10201,1102010056,"",""
10,"","",0,"","",32,10201,1102010057,"",""
0.3,"","",0,"","",93,10201,1102010058,"",""
2,-205,0.9,1,-325,0,5,10202,1102020001,empty,50
102000,-205,0.9,2,-325,0,5,10202,1102020002,empty,58
100,1500,0.6,100,-263,0,5,10202,1102020003,idle_single,54
102000,0,0,0,1,"",31,10202,1102020004,"",0
102001,-263,0,1,1,"",31,10202,1102020005,"",1500
102002,0,0,2,1,"",31,10202,1102020006,"",0
102003,-136,0,3,1,"",31,10202,1102020007,"",-132
102005,0,0,4,1,"",31,10202,1102020008,"",0
1,0,0,10,1,"",31,10202,1102020009,"",0
2,0,0,20,1,"",31,10202,1102020010,"",0
3,0,0,30,1,"",31,10202,1102020011,"",0
0,"","",0,"","",91,10202,1102020012,"",""
0,"","",1,"","",32,10202,1102020013,"",""
10,"","",1,"","",32,10202,1102020014,"",""
se_caravan,"","",se_caravan_dice_get_intro,"","",23,10202,1102020015,"",0
1,"",0,getDice_idle,"","",3,10202,1102020016,"",1
100,eat_loop,0,run_getDice,1,0,3,10202,1102020017,"",0
1,"","",1,"","",32,10202,1102020018,"",""
100,2,"",344,11,"",2,10202,1102020019,"",-263
1,2,"",344,11,"",33,10202,1102020020,"",-263
2,"","",1,"","",32,10202,1102020021,"",""
1.7,"","",0,"","",93,10202,1102020022,"",""
1,"",0.2,getDice_curious,"",0,3,10202,1102020023,"",1
vo_caravan,0,"",vo_caravan_event_003_000,"","",21,10202,1102020024,"",0
1.5,"","",0,"","",93,10202,1102020025,"",""
se_caravan,"","",se_caravan_dice_get_outro_2,"","",23,10202,1102020026,"",0
vo_caravan,0,"",vo_caravan_event_003_001,"","",21,10202,1102020027,"",0
100,idle_single,0.1,spit_in,1,0,3,10202,1102020028,"",0
2,"",0,getDice_2,"","",3,10202,1102020029,"",0
1,"",0.1,getDice_panic_2,"","",3,10202,1102020030,"",0
2.5,"","",0,"","",93,10202,1102020031,"",""
100,idle_single,0.2,joy_single,1,0,3,10202,1102020032,"",0
0.5,"","",0,"","",93,10202,1102020033,"",""
vo_caravan,0.1,"",vo_caravan_event_003_002,"","",21,10202,1102020034,"",0
0.1,"","",0,"","",93,10202,1102020035,"",""
3,"","",1,"","",32,10202,1102020036,"",""
1.6,"","",0,"","",93,10202,1102020037,"",""
1102020039,"","",0,"","",101,10202,1102020038,"",""
4,"","",1,"","",35,10202,1102020039,"",""
4,"","",1,"","",32,10202,1102020040,"",""
20,"","",1,"","",32,10202,1102020041,"",""
1,"","",0,"","",32,10202,1102020042,"",""
0.4,"","",0,"","",93,10202,1102020043,"",""
"","","","","","",92,10202,1102020044,"",""
30,"","",1,"","",35,10202,1102020045,"",""
30,"","",1,"","",32,10202,1102020046,"",""
0.2,"","",0,"","",93,10202,1102020047,"",""
1,1,0,1,0,0,6,10202,1102020048,"",1
2,1,0,1,0,0,6,10202,1102020049,"",1
100,1,0,1,0,0,6,10202,1102020050,"",1
0,"","",0,"","",32,10202,1102020051,"",""
2,"","",0,"","",32,10202,1102020052,"",""
3,"","",0,"","",32,10202,1102020053,"",""
4,"","",0,"","",32,10202,1102020054,"",""
10,"","",0,"","",32,10202,1102020055,"",""
20,"","",0,"","",32,10202,1102020056,"",""
0.3,"","",0,"","",93,10202,1102020057,"",""
1,0,1,1,0,0,5,10301,1103010001,magicitem_1,20
2,0,1,2,0,0,5,10301,1103010002,magicitem_2,19
3,0,1,3,0,0,5,10301,1103010003,magicitem_3,18
103000,0,1,4,0,0,5,10301,1103010004,magicitem_kyaru,21
103000,0,0,10,1,"",31,10301,1103010005,"",0
103001,0,0,11,1,"",31,10301,1103010006,"",0
103002,0,0,12,1,"",31,10301,1103010007,"",0
103003,0,0,13,1,"",31,10301,1103010008,"",0
103007,0,0,14,1,"",31,10301,1103010009,"",0
103011,0,0,19,1,"",31,10301,1103010010,"",0
1,0,1,15,1,"",31,10301,1103010011,"",0
2,0,0,16,1,"",31,10301,1103010012,"",0
3,0,0,17,1,"",31,10301,1103010013,"",0
4,0,0,18,1,"",31,10301,1103010014,"",0
18,0,1,0,1,"",35,10301,1103010015,"",0
18,"","",1,"","",32,10301,1103010016,"",""
0,"","",0,"","",91,10301,1103010017,"",""
10,"","",1,"","",32,10301,1103010018,"",""
11,"","",1,"","",32,10301,1103010019,"",""
12,"","",1,"","",32,10301,1103010020,"",""
13,"","",1,"","",32,10301,1103010021,"",""
19,"","",1,"","",32,10301,1103010022,"",""
1,"",0,magicitem_1,"","",3,10301,1103010023,"",0
2,"",0,magicitem_2,"","",3,10301,1103010024,"",0
3,"",0,magicitem_3,"","",3,10301,1103010025,"",0
4,"",0,magicitem_kyaru,"","",3,10301,1103010026,"",0
vo_caravan,2.17,"",vo_caravan_event_004_000,"","",21,10301,1103010027,"",0
vo_caravan,3.2,"",vo_caravan_event_004_001,"","",21,10301,1103010028,"",1
vo_caravan,4.9,"",vo_caravan_event_004_002,"","",21,10301,1103010029,"",2
7,"","",0,"","",93,10301,1103010030,"",""
18,"","",0,"","",32,10301,1103010031,"",""
0.67,"","",0,"","",93,10301,1103010032,"",""
1103010034,"","",1,"","",101,10301,1103010033,"",""
14,"","",1,"","",35,10301,1103010034,"",""
14,"","",1,"","",32,10301,1103010035,"",""
16,"","",1,"","",32,10301,1103010036,"",""
19,"","",0,"","",32,10301,1103010037,"",""
18,"","",1,"","",35,10301,1103010038,"",""
0.4,"","",0,"","",93,10301,1103010039,"",""
"","","","","","",92,10301,1103010040,"",""
17,"","",1,"","",35,10301,1103010041,"",""
17,"","",1,"","",32,10301,1103010042,"",""
0.2,"","",0,"","",93,10301,1103010043,"",""
1,0,0.01,0,0,0,6,10301,1103010044,"",0
2,0,0.01,0,0,0,6,10301,1103010045,"",0
3,0,0.01,0,0,0,6,10301,1103010046,"",0
4,0,0.01,0,0,0,6,10301,1103010047,"",0
10,"","",0,"","",32,10301,1103010048,"",""
11,"","",0,"","",32,10301,1103010049,"",""
12,"","",0,"","",32,10301,1103010050,"",""
13,"","",0,"","",32,10301,1103010051,"",""
14,"","",0,"","",32,10301,1103010052,"",""
15,"","",0,"","",32,10301,1103010053,"",""
16,"","",0,"","",32,10301,1103010054,"",""
18,"","",0,"","",32,10301,1103010055,"",""
0.3,"","",0,"","",93,10301,1103010056,"",""
2,0,1,1,0,0,5,10302,1103020001,magicitem_1,20
3,0,1,2,0,0,5,10302,1103020002,magicitem_2,19
1,0,1,3,0,0,5,10302,1103020003,magicitem_3,18
103000,0,1,4,0,0,5,10302,1103020004,magicitem_pekorine,21
103000,0,0,10,1,"",31,10302,1103020005,"",0
103001,0,0,11,1,"",31,10302,1103020006,"",0
103002,0,0,12,1,"",31,10302,1103020007,"",0
103004,9,0,13,1,"",31,10302,1103020008,"",-25
103008,0,0,14,1,"",31,10302,1103020009,"",0
103011,0,0,19,1,"",31,10302,1103020010,"",0
1,0,1,15,1,"",31,10302,1103020011,"",0
2,0,0,16,1,"",31,10302,1103020012,"",0
3,0,0,17,1,"",31,10302,1103020013,"",0
4,0,0,18,1,"",31,10302,1103020014,"",0
18,0,1,0,1,"",35,10302,1103020015,"",0
18,"","",1,"","",32,10302,1103020016,"",""
0,"","",0,"","",91,10302,1103020017,"",""
10,"","",1,"","",32,10302,1103020018,"",""
11,"","",1,"","",32,10302,1103020019,"",""
12,"","",1,"","",32,10302,1103020020,"",""
13,"","",1,"","",32,10302,1103020021,"",""
19,"","",1,"","",32,10302,1103020022,"",""
1,"",0,magicitem_1,"","",3,10302,1103020023,"",0
2,"",0,magicitem_2,"","",3,10302,1103020024,"",0
3,"",0,magicitem_3,"","",3,10302,1103020025,"",0
4,"",0,magicitem_pekorine,"","",3,10302,1103020026,"",0
vo_caravan,2.17,"",vo_caravan_event_006_000,"","",21,10302,1103020027,"",0
vo_caravan,3.2,"",vo_caravan_event_006_001,"","",21,10302,1103020028,"",1
vo_caravan,4.9,"",vo_caravan_event_006_002,"","",21,10302,1103020029,"",2
7,"","",0,"","",93,10302,1103020030,"",""
18,"","",0,"","",32,10302,1103020031,"",""
0.67,"","",0,"","",93,10302,1103020032,"",""
1103020034,"","",1,"","",101,10302,1103020033,"",""
14,"","",1,"","",35,10302,1103020034,"",""
14,"","",1,"","",32,10302,1103020035,"",""
16,"","",1,"","",32,10302,1103020036,"",""
19,"","",0,"","",32,10302,1103020037,"",""
18,"","",1,"","",35,10302,1103020038,"",""
0.4,"","",0,"","",93,10302,1103020039,"",""
"","","","","","",92,10302,1103020040,"",""
17,"","",1,"","",35,10302,1103020041,"",""
17,"","",1,"","",32,10302,1103020042,"",""
0.2,"","",0,"","",93,10302,1103020043,"",""
1,0,0.01,0,0,0,6,10302,1103020044,"",0
2,0,0.01,0,0,0,6,10302,1103020045,"",0
3,0,0.01,0,0,0,6,10302,1103020046,"",0
4,0,0.01,0,0,0,6,10302,1103020047,"",0
10,"","",0,"","",32,10302,1103020048,"",""
11,"","",0,"","",32,10302,1103020049,"",""
12,"","",0,"","",32,10302,1103020050,"",""
13,"","",0,"","",32,10302,1103020051,"",""
14,"","",0,"","",32,10302,1103020052,"",""
15,"","",0,"","",32,10302,1103020053,"",""
16,"","",0,"","",32,10302,1103020054,"",""
18,"","",0,"","",32,10302,1103020055,"",""
0.3,"","",0,"","",93,10302,1103020056,"",""
3,0,1,1,0,0,5,10303,1103030001,magicitem_1,20
1,0,1,2,0,0,5,10303,1103030002,magicitem_2,19
2,0,1,3,0,0,5,10303,1103030003,magicitem_3,18
103000,0,1,4,0,0,5,10303,1103030004,magicitem_kokkoro,21
103000,0,0,10,1,"",31,10303,1103030005,"",0
103001,0,0,11,1,"",31,10303,1103030006,"",0
103002,0,0,12,1,"",31,10303,1103030007,"",0
103005,-35,0,13,1,"",31,10303,1103030008,"",8
103009,0,0,14,1,"",31,10303,1103030009,"",0
103012,0,0,19,1,"",31,10303,1103030010,"",0
1,0,1,15,1,"",31,10303,1103030011,"",0
2,0,0,16,1,"",31,10303,1103030012,"",0
3,0,0,17,1,"",31,10303,1103030013,"",0
4,0,0,18,1,"",31,10303,1103030014,"",0
18,0,1,0,1,"",35,10303,1103030015,"",0
18,"","",1,"","",32,10303,1103030016,"",""
0,"","",0,"","",91,10303,1103030017,"",""
10,"","",1,"","",32,10303,1103030018,"",""
11,"","",1,"","",32,10303,1103030019,"",""
12,"","",1,"","",32,10303,1103030020,"",""
13,"","",1,"","",32,10303,1103030021,"",""
19,"","",1,"","",32,10303,1103030022,"",""
1,"",0,magicitem_1,"","",3,10303,1103030023,"",0
2,"",0,magicitem_2,"","",3,10303,1103030024,"",0
3,"",0,magicitem_3,"","",3,10303,1103030025,"",0
4,"",0,magicitem_kokkoro,"","",3,10303,1103030026,"",0
vo_caravan,2.17,"",vo_caravan_event_005_000,"","",21,10303,1103030027,"",0
vo_caravan,3.2,"",vo_caravan_event_005_001,"","",21,10303,1103030028,"",1
vo_caravan,4.9,"",vo_caravan_event_005_002,"","",21,10303,1103030029,"",2
7,"","",0,"","",93,10303,1103030030,"",""
18,"","",0,"","",32,10303,1103030031,"",""
0.67,"","",0,"","",93,10303,1103030032,"",""
1103030034,"","",1,"","",101,10303,1103030033,"",""
14,"","",1,"","",35,10303,1103030034,"",""
14,"","",1,"","",32,10303,1103030035,"",""
16,"","",1,"","",32,10303,1103030036,"",""
19,"","",0,"","",32,10303,1103030037,"",""
18,"","",1,"","",35,10303,1103030038,"",""
0.4,"","",0,"","",93,10303,1103030039,"",""
"","","","","","",92,10303,1103030040,"",""
17,"","",1,"","",35,10303,1103030041,"",""
17,"","",1,"","",32,10303,1103030042,"",""
0.2,"","",0,"","",93,10303,1103030043,"",""
1,0,0.01,0,0,0,6,10303,1103030044,"",0
2,0,0.01,0,0,0,6,10303,1103030045,"",0
3,0,0.01,0,0,0,6,10303,1103030046,"",0
4,0,0.01,0,0,0,6,10303,1103030047,"",0
10,"","",0,"","",32,10303,1103030048,"",""
11,"","",0,"","",32,10303,1103030049,"",""
12,"","",0,"","",32,10303,1103030050,"",""
13,"","",0,"","",32,10303,1103030051,"",""
14,"","",0,"","",32,10303,1103030052,"",""
15,"","",0,"","",32,10303,1103030053,"",""
16,"","",0,"","",32,10303,1103030054,"",""
18,"","",0,"","",32,10303,1103030055,"",""
0.3,"","",0,"","",93,10303,1103030056,"",""
1,0,1,1,0,0,5,10304,1103040001,magicitem_1,20
2,0,1,2,0,0,5,10304,1103040002,magicitem_2,19
3,0,1,3,0,0,5,10304,1103040003,magicitem_3,18
103000,0,1,4,0,0,5,10304,1103040004,magicitem_kyaru,21
103000,0,0,10,1,"",31,10304,1103040005,"",0
103001,0,0,11,1,"",31,10304,1103040006,"",0
103002,0,0,12,1,"",31,10304,1103040007,"",0
103006,0,0,13,1,"",31,10304,1103040008,"",0
103010,0,0,14,1,"",31,10304,1103040009,"",0
103011,0,0,19,1,"",31,10304,1103040010,"",0
1,0,1,15,1,"",31,10304,1103040011,"",0
2,0,0,16,1,"",31,10304,1103040012,"",0
3,0,0,17,1,"",31,10304,1103040013,"",0
4,0,0,18,1,"",31,10304,1103040014,"",0
18,0,1,0,1,"",35,10304,1103040015,"",0
18,"","",1,"","",32,10304,1103040016,"",""
0,"","",0,"","",91,10304,1103040017,"",""
10,"","",1,"","",32,10304,1103040018,"",""
11,"","",1,"","",32,10304,1103040019,"",""
12,"","",1,"","",32,10304,1103040020,"",""
13,"","",1,"","",32,10304,1103040021,"",""
19,"","",1,"","",32,10304,1103040022,"",""
1,"",0,magicitem_1,"","",3,10304,1103040023,"",0
2,"",0,magicitem_2,"","",3,10304,1103040024,"",0
3,"",0,magicitem_3,"","",3,10304,1103040025,"",0
4,"",0,magicitem_kyaru2,"","",3,10304,1103040026,"",0
vo_caravan,2.17,"",vo_caravan_event_004_000,"","",21,10304,1103040027,"",0
vo_caravan,3.2,"",vo_caravan_event_004_001,"","",21,10304,1103040028,"",1
vo_caravan,4.9,"",vo_caravan_event_004_002,"","",21,10304,1103040029,"",2
7,"","",0,"","",93,10304,1103040030,"",""
18,"","",0,"","",32,10304,1103040031,"",""
0.67,"","",0,"","",93,10304,1103040032,"",""
1103040034,"","",1,"","",101,10304,1103040033,"",""
14,"","",1,"","",35,10304,1103040034,"",""
14,"","",1,"","",32,10304,1103040035,"",""
16,"","",1,"","",32,10304,1103040036,"",""
19,"","",0,"","",32,10304,1103040037,"",""
18,"","",1,"","",35,10304,1103040038,"",""
0.4,"","",0,"","",93,10304,1103040039,"",""
"","","","","","",92,10304,1103040040,"",""
17,"","",1,"","",35,10304,1103040041,"",""
17,"","",1,"","",32,10304,1103040042,"",""
0.2,"","",0,"","",93,10304,1103040043,"",""
1,0,0.01,0,0,0,6,10304,1103040044,"",0
2,0,0.01,0,0,0,6,10304,1103040045,"",0
3,0,0.01,0,0,0,6,10304,1103040046,"",0
4,0,0.01,0,0,0,6,10304,1103040047,"",0
10,"","",0,"","",32,10304,1103040048,"",""
11,"","",0,"","",32,10304,1103040049,"",""
12,"","",0,"","",32,10304,1103040050,"",""
13,"","",0,"","",32,10304,1103040051,"",""
14,"","",0,"","",32,10304,1103040052,"",""
15,"","",0,"","",32,10304,1103040053,"",""
16,"","",0,"","",32,10304,1103040054,"",""
18,"","",0,"","",32,10304,1103040055,"",""
0.3,"","",0,"","",93,10304,1103040056,"",""
3,-250,0.95,1,-270,0,5,10401,1104010001,empty,55
104000,-250,0.95,2,-270,0,5,10401,1104010002,empty,57
5,150,0.95,3,-260,0,5,10401,1104010003,empty,50
5,150,0.95,4,-260,0,5,10401,1104010004,empty,52
104000,0,0,0,1,"",31,10401,1104010005,"",220
104001,0,0,1,1,"",31,10401,1104010006,"",0
104002,-235,0,2,1,"",31,10401,1104010007,"",-225
104003,0,0,3,1,"",31,10401,1104010008,"",0
104004,0,0,4,1,"",31,10401,1104010009,"",0
104006,0,0,6,1,"",31,10401,1104010010,"",400
1,0,0,10,1,"",31,10401,1104010011,"",0
2,0,0,20,1,"",31,10401,1104010012,"",0
3,0,0,30,1,"",31,10401,1104010013,"",0
5,0,0,50,1,"",31,10401,1104010014,"",0
0,"","",0,"","",91,10401,1104010015,"",""
50,"","",1,"","",32,10401,1104010016,"",""
0,"","",1,"","",32,10401,1104010017,"",""
10,"","",1,"","",32,10401,1104010018,"",""
0.5,"","",0,"","",93,10401,1104010019,"",""
se_caravan,"","",se_caravan_event_kyaru_A,"","",23,10401,1104010020,"",0
vo_caravan,0.2,"",vo_caravan_event_98011_000,"","",21,10401,1104010021,"",0
6,"","",1,"","",32,10401,1104010022,"",""
3,"",0,turnSkip_1_karin,"",0,3,10401,1104010023,"",0
4,"",0,turnSkip_1_pen,"",0,3,10401,1104010024,"",0
1,"",0,turnSkip_1,"",0,3,10401,1104010025,"",0
2,"",0,turnSkip_1,"",0,3,10401,1104010026,"",0
0,0.7,"",0,8,"",33,10401,1104010027,"",0
3,0.7,"",-250,8,"",2,10401,1104010028,"",-260
4,0.7,"",-250,8,"",2,10401,1104010029,"",-260
6,0.7,"",0,8,"",33,10401,1104010030,"",0
4.3,"","",0,"","",93,10401,1104010031,"",""
se_caravan,"","",se_caravan_event_kyaru_1turn_B,"","",23,10401,1104010032,"",0
vo_caravan,0.533,"",vo_caravan_event_98011_001,"","",21,10401,1104010033,"",0
0.833,"","",0,"","",93,10401,1104010034,"",""
3,"","",1,"","",32,10401,1104010035,"",""
0.3003,"","",0,"","",93,10401,1104010036,"",""
1,"","",1,"","",32,10401,1104010037,"",""
1.0337,"","",0,"","",93,10401,1104010038,"",""
vo_caravan,"","",vo_caravan_event_98011_002,"","",21,10401,1104010039,"",0
2,"","",1,"","",32,10401,1104010040,"",""
0.833,"","",0,"","",93,10401,1104010041,"",""
1104010043,"","",0,"","",101,10401,1104010042,"",""
4,"","",1,"","",35,10401,1104010043,"",""
4,"","",1,"","",32,10401,1104010044,"",""
20,"","",1,"","",32,10401,1104010045,"",""
0.4,"","",0,"","",93,10401,1104010046,"",""
"","","","","","",92,10401,1104010047,"",""
30,"","",1,"","",35,10401,1104010048,"",""
30,"","",1,"","",32,10401,1104010049,"",""
0.2,"","",0,"","",93,10401,1104010050,"",""
1,1,0,1,0,0,6,10401,1104010051,"",1
2,1,0,1,0,0,6,10401,1104010052,"",1
3,1,0,1,0,0,6,10401,1104010053,"",1
4,1,0,1,0,0,6,10401,1104010054,"",1
0,"","",0,"","",32,10401,1104010055,"",""
1,"","",0,"","",32,10401,1104010056,"",""
2,"","",0,"","",32,10401,1104010057,"",""
3,"","",0,"","",32,10401,1104010058,"",""
4,"","",0,"","",32,10401,1104010059,"",""
6,"","",0,"","",32,10401,1104010060,"",""
10,"","",0,"","",32,10401,1104010061,"",""
20,"","",0,"","",32,10401,1104010062,"",""
50,"","",0,"","",32,10401,1104010063,"",""
0.3,"","",0,"","",93,10401,1104010064,"",""
3,-250,0.95,1,-270,0,5,10402,1104020001,empty,55
104000,-250,0.95,2,-270,0,5,10402,1104020002,empty,57
5,100,0.95,3,-260,0,5,10402,1104020003,empty,50
5,100,0.95,4,-260,0,5,10402,1104020004,empty,52
104000,0,0,0,1,"",31,10402,1104020005,"",220
104001,0,0,1,1,"",31,10402,1104020006,"",0
104002,-245,0,2,1,"",31,10402,1104020007,"",-205
104003,0,0,3,1,"",31,10402,1104020008,"",0
104005,0,0,5,1,"",31,10402,1104020009,"",0
104006,0,0,6,1,"",31,10402,1104020010,"",265
1,0,0,10,1,"",31,10402,1104020011,"",0
2,0,0,20,1,"",31,10402,1104020012,"",0
3,0,0,30,1,"",31,10402,1104020013,"",0
5,0,0,50,1,"",31,10402,1104020014,"",0
0,"","",0,"","",91,10402,1104020015,"",""
50,"","",1,"","",32,10402,1104020016,"",""
0,"","",1,"","",32,10402,1104020017,"",""
10,"","",1,"","",32,10402,1104020018,"",""
0.5,"","",0,"","",93,10402,1104020019,"",""
se_caravan,"","",se_caravan_event_kyaru_A,"","",23,10402,1104020020,"",0
vo_caravan,0.2,"",vo_caravan_event_98012_000,"","",21,10402,1104020021,"",0
6,"","",1,"","",32,10402,1104020022,"",""
3,"",0,turnSkip_2_karin,"",0,3,10402,1104020023,"",0
4,"",0,turnSkip_2_pen,"",0,3,10402,1104020024,"",0
1,"",0,turnSkip_2,"",0,3,10402,1104020025,"",0
2,"",0,turnSkip_2,"",0,3,10402,1104020026,"",0
0,0.7,"",0,8,"",33,10402,1104020027,"",0
3,0.7,"",-250,8,"",2,10402,1104020028,"",-260
4,0.7,"",-250,8,"",2,10402,1104020029,"",-260
6,0.7,"",0,8,"",33,10402,1104020030,"",0
4.3,"","",0,"","",93,10402,1104020031,"",""
se_caravan,"","",se_caravan_event_kyaru_2turn_B,"","",23,10402,1104020032,"",0
vo_caravan,0.63,"",vo_caravan_event_98012_001,"","",21,10402,1104020033,"",0
vo_caravan,2.2,"",vo_caravan_event_98012_002,"","",21,10402,1104020034,"",0
2.5,"","",0,"","",93,10402,1104020035,"",""
3,"","",1,"","",32,10402,1104020036,"",""
0.3,"","",0,"","",93,10402,1104020037,"",""
1,"","",1,"","",32,10402,1104020038,"",""
1.067,"","",0,"","",93,10402,1104020039,"",""
vo_caravan,"","",vo_caravan_event_98012_003,"","",21,10402,1104020040,"",0
2,"","",1,"","",32,10402,1104020041,"",""
0.933,"","",0,"","",93,10402,1104020042,"",""
1104020044,"","",0,"","",101,10402,1104020043,"",""
5,"","",1,"","",35,10402,1104020044,"",""
5,"","",1,"","",32,10402,1104020045,"",""
20,"","",1,"","",32,10402,1104020046,"",""
0.4,"","",0,"","",93,10402,1104020047,"",""
"","","","","","",92,10402,1104020048,"",""
30,"","",1,"","",35,10402,1104020049,"",""
30,"","",1,"","",32,10402,1104020050,"",""
0.2,"","",0,"","",93,10402,1104020051,"",""
1,1,0,1,0,0,6,10402,1104020052,"",1
2,1,0,1,0,0,6,10402,1104020053,"",1
3,1,0,1,0,0,6,10402,1104020054,"",1
4,1,0,1,0,0,6,10402,1104020055,"",1
0,"","",0,"","",32,10402,1104020056,"",""
1,"","",0,"","",32,10402,1104020057,"",""
2,"","",0,"","",32,10402,1104020058,"",""
3,"","",0,"","",32,10402,1104020059,"",""
5,"","",0,"","",32,10402,1104020060,"",""
6,"","",0,"","",32,10402,1104020061,"",""
10,"","",0,"","",32,10402,1104020062,"",""
20,"","",0,"","",32,10402,1104020063,"",""
