rarity,description,detail_scale_y,name,goods_id,detail_scale_x,shelf_position_id
2,"치카의 브로마이드. 엄선된 사랑스러운 표정을 바라보면\n치카에 대한 뜨거운 마음이 틀림없이 한층 더 높아질 것이다.",0.675,"치카의 브로마이드",10407,1.0875,7
2,"치카의 서머 의상 브로마이드. 뜨거운 여름을 느끼게 하는 눈부시고\n매력적인 모습을 담은 멋진 브로마이드를 바라보며, 그녀와 함께 최고의\n여름을.",0.675,"치카의 서머 브로마이드",10408,1.0875,7
2,"치카의 크리스마스 의상 브로마이드. 크리스마스 시즌에만\n볼 수 있는 귀중한 모습은 카르미나 팬을 위한 최고의 선물.",0.675,"치카의 크리스마스 브로마이드",10409,1.0875,7
3,"츠무기의 이름이 들어간 손목 밴드. 공연 티켓 대신 몸에서\n떼지 말고 지니자!",1.0125,"츠무기의 손목 밴드",10501,0.665625,8
3,"노조미의 이름이 들어간 손목 밴드. 공연 티켓 대신 몸에서\n떼지 말고 지니자!",1.0125,"노조미의 손목 밴드",10502,0.665625,8
3,"치카의 이름이 들어간 손목 밴드. 공연 티켓 대신 몸에서\n떼지 말고 지니자!",1.0125,"치카의 손목 밴드",10503,0.665625,8
3,"츠무기의 화려한 모습을 담은 대형 포스터. 방에 붙여두면\n언제든 당신만을 향한 그녀의 미소를 독점. 오늘도 내일도\n힘내자!",0.470703125,"츠무기의 포스터",10601,0.365234375,10
3,"노조미의 화려한 모습을 담은 대형 포스터. 방에 붙여두면\n언제든 당신만을 향한 그녀의 미소를 독점. 오늘도 내일도\n힘내자!",0.470703125,"노조미의 포스터",10602,0.365234375,10
3,"치카의 화려한 모습을 담은 대형 포스터. 방에 붙여두면\n언제든 당신만을 향한 그녀의 미소를 독점. 오늘도 내일도\n힘내자!",0.470703125,"치카의 포스터",10603,0.365234375,11
3,"멤버 3명이 찍힌 박력 넘치는 대형 포스터. 방에 붙여두면\n아침부터 저녁까지 언제든 그녀들의 미소를 만날 수 있다.\n오늘도 내일도 힘내자!",0.470703125,"카르미나의 포스터",10604,0.365234375,11
3,"이벤트 공연장에서만 입수할 수 있는 서머 라이브 한정 디자인 회원 카드.\n공연장에서만 얻을 수 있기 때문에 프리미엄 가치가 높다.\n진짜 팬이라면 꼭 얻고 싶은 것.",0.53125,"공연장 한정 회원 카드",10701,0.953125,8
2,"츠무기의 퍼스널 컬러로 꾸며진 서머 라이브 디자인 기념 타월. 라이브의 땀으로 젖은 피부를 닦는 것은 물론 응원 굿즈로 사용하는 것도 가능.",0.4609375,"츠무기의 기념 타월",10801,0.443359375,12
2,"노조미의 퍼스널 컬러로 꾸며진 서머 라이브 디자인 기념 타월. 라이브의 땀으로 젖은 피부를 닦는 것은 물론 응원 굿즈로 사용하는 것도 가능.",0.4609375,"노조미의 기념 타월",10802,0.443359375,12
2,"치카의 퍼스널 컬러로 꾸며진 서머 라이브 디자인 기념 타월. 라이브의 땀으로 젖은 피부를 닦는 것은 물론 응원 굿즈로 사용하는 것도 가능.",0.4609375,"치카의 기념 타월",10803,0.443359375,13
2,"카르미나의 서머 라이브 디자인 기념 타월. 범용성 높은 기본 아이템.\n라이브의 땀으로 젖은 피부를 닦는 것은 물론 응원 굿즈로 사용하는\n것도 가능.",0.4609375,"카르미나의 기념 타월",10804,0.443359375,13
1,"츠무기의 공식 응원 부채. 최애를 향한 전력 어필에 최적화된 물건.\n라이브 공연장의 열광과 함께!",0.459375,"츠무기의 응원 부채",10901,0.33046875,9
1,"노조미의 공식 응원 부채. 최애를 향한 전력 어필에 최적화된 물건.\n라이브 공연장의 열광과 함께!",0.459375,"노조미의 응원 부채",10902,0.33046875,9
1,"치카의 공식 응원 부채. 최애를 향한 전력 어필에 최적화된 물건.\n라이브 공연장의 열광과 함께!",0.459375,"치카의 응원 부채",10903,0.33046875,9
1,"카르미나의 공식 응원 부채. 심플한 디자인이라 평소에 쓰기에도\n최적화된 물건. 언제 어디서든 그녀들을 응원할 수 있어.",0.459375,"카르미나의 응원 부채",10904,0.33046875,9
1,"장식해도 좋고 붙여도 좋은 귀여운 스티커. 눈에 띄는 곳에 찰싹\n붙이면, 눈에 들어올 때마다 틀림없이 웃는 얼굴이 될 것이다!",0.8671875,"츠무기의 스티커",11001,0.671875,5
1,"장식해도 좋고 붙여도 좋은 귀여운 스티커. 눈에 띄는 곳에 찰싹\n붙이면, 눈에 들어올 때마다 틀림없이 웃는 얼굴이 될 것이다!",0.8671875,"노조미의 스티커",11002,0.671875,5
1,"장식해도 좋고 붙여도 좋은 귀여운 스티커. 눈에 띄는 곳에 찰싹\n붙이면, 눈에 들어올 때마다 틀림없이 웃는 얼굴이 될 것이다!",0.8671875,"치카의 스티커",11003,0.671875,5
1,"기본 굿즈 중 하나. 모든 종류를 다 모으는 것도, 같은 종류를\n많이 모으는 것도 당신한테 달렸다! 자신만의 컬렉션을 만들자.",0.975,"츠무기의 캔 배지",11101,0.975,5
1,"기본 굿즈 중 하나. 모든 종류를 다 모으는 것도, 같은 종류를\n많이 모으는 것도 당신한테 달렸다! 자신만의 컬렉션을 만들자.",0.975,"노조미의 캔 배지",11102,0.975,5
1,"기본 굿즈 중 하나. 모든 종류를 다 모으는 것도, 같은 종류를\n많이 모으는 것도 당신한테 달렸다! 자신만의 컬렉션을 만들자.",0.975,"치카의 캔 배지",11103,0.975,5
2,"라이브에서 함께 즐기기 위한 필수 아이템. 다양한 색으로 전환이\n가능해 장면이나 곡에 따라 구분해서 쓸 수 있다. 컬러풀하게 라이브\n분위기를 달구자.",0.49609375,"카르미나 라이브 응원봉",11201,0.39453125,9
2,"츠무기가 디자인된 머그컵. 매일의 휴식이나 티타임이\n더욱 즐거워지는 아이템. 그녀와의 멋진 시간을 당신에게.",0.671875,"츠무기의 머그컵",11301,0.65625,8
2,"노조미가 디자인된 머그컵. 매일의 휴식이나 티타임이\n더욱 즐거워지는 아이템. 그녀와의 멋진 시간을 당신에게.",0.671875,"노조미의 머그컵",11302,0.65625,8
2,"치카가 디자인된 머그컵. 매일의 휴식이나 티타임이\n더욱 즐거워지는 아이템. 그녀와의 멋진 시간을 당신에게.",0.671875,"치카의 머그컵",11303,0.65625,8
1,"추억을 되돌아보는 아이템이라고 하면 이것. 서머 의상 츠무기가\n눈부신 페넌트는 언제나 라이브의 흥분과 아이돌의 반짝임을\n떠올리게 해준다.",0.6328125,"츠무기의 페넌트",11401,0.984375,4
1,"추억을 되돌아보는 아이템이라고 하면 이것. 서머 의상 노조미가\n눈부신 페넌트는 언제나 라이브의 흥분과 아이돌의 반짝임을\n떠올리게 해준다.",0.640625,"노조미의 페넌트",11402,0.984375,4
1,"추억을 되돌아보는 아이템이라고 하면 이것. 서머 의상 치카가\n눈부신 페넌트는 언제나 라이브의 흥분과 아이돌의 반짝임을\n떠올리게 해준다.",0.6328125,"치카의 페넌트",11403,0.984375,4
1,"발랄하고 귀엽게 그려진 츠무기의 핀 배지. 반들반들 반짝반짝\n동전 같은 질감이 컬렉터의 마음을 자극하는 아이템.",1.21875,"츠무기의 핀 배지",11501,1.21875,3
1,"서머 의상 츠무기가 귀엽게 그려진 핀 배지. 한정 버전 디자인은 서머\n라이브 참가의 증표.\n여름을 만끽 중인 츠무기의 표정이매력적인 물건.",1.21875,"츠무기의 서머 핀 배지",11502,1.21875,3
1,"발랄하고 귀엽게 그려진 노조미의 핀 배지. 반들반들 반짝반짝\n동전 같은 질감이 컬렉터의 마음을 자극하는 아이템.",1.21875,"노조미의 핀 배지",11503,1.21875,3
1,"서머 의상 노조미가 귀엽게 그려진 핀 배지. 한정 버전 디자인은 서머\n라이브 참가의 증표.\n여름을 만끽 중인 노조미의 표정이 매력적인 물건.",1.21875,"노조미의 서머 핀 배지",11504,1.21875,3
1,"발랄하고 귀엽게 그려진 치카의 핀 배지. 반들반들 반짝반짝\n동전 같은 질감이 컬렉터의 마음을 자극하는 아이템.",1.21875,"치카의 핀 배지",11505,1.21875,3
1,"서머 의상 치카가 귀엽게 그려진 핀 배지. 한정 버전 디자인은 서머\n라이브 참가의 증표.\n여름을 만끽 중인 치카의 표정이 매력적인 물건.",1.21875,"치카의 서머 핀 배지",11506,1.21875,3
1,"츠무기 온 스테이지! 츠무기가 뚜껑 스테이지에서 귀엽게\n포즈를 취하고 있다. 어디든 좋아하는 장소에 부담 없이\n장식할 수 있다.",0.75,"츠무기의 병뚜껑",11601,0.625,6
1,"서머 의상 츠무기가 뚜껑에서 온 스테이지! 시원한 의상을 입고 뜨거운\n스테이지를 펼친 그녀의 씩씩한 모습을 떠올릴 수 있다.",0.75,"츠무기의 서머 병뚜껑",11602,0.625,6
1,"노조미 온 스테이지! 노조미가 뚜껑 스테이지에서 귀엽게\n포즈를 취하고 있다. 어디든 좋아하는 장소에 부담 없이\n장식할 수 있다.",0.75,"노조미의 병뚜껑",11603,0.625,6
1,"서머 의상 노조미가 뚜껑에서 온 스테이지! 시원한 의상을 입고 뜨거운\n스테이지를 펼친 그녀의 씩씩한 모습을 떠올릴 수 있다.",0.75,"노조미의 서머 병뚜껑",11604,0.625,6
1,"치카 온 스테이지! 치카가 뚜껑 스테이지에서 귀엽게\n포즈를 취하고 있다. 어디든 좋아하는 장소에 부담 없이\n장식할 수 있다.",0.75,"치카의 병뚜껑",11605,0.625,6
1,"서머 의상 치카가 뚜껑에서 온 스테이지! 시원한 의상을 입고 뜨거운\n스테이지를 펼친 그녀의 씩씩한 모습을 떠올릴 수 있다.",0.75,"치카의 서머 병뚜껑",11606,0.625,6
1,"츠무기의 키홀더 사이즈 태피스트리. 어디에나 장식할 수 있는\n데다가 몸에 지니고 외출도 가능한 만능 물건.",0.8828125,"츠무기의 미니 태피스트리",11701,0.890625,4
1,"노조미의 키홀더 사이즈 태피스트리. 어디에나 장식할 수 있는\n데다가 몸에 지니고 외출도 가능한 만능 물건.",0.8828125,"노조미의 미니 태피스트리",11702,0.890625,4
1,"치카의 키홀더 사이즈 태피스트리. 어디에나 장식할 수 있는\n데다가 몸에 지니고 외출도 가능한 만능 물건.",0.8828125,"치카의 미니 태피스트리",11703,0.890625,4
