start_time,notice_text,event_id,thumbnail_id,description_text,reminder_id,title_text,target_id,target_type,end_time,btn_text
"2022/10/24 15:00:00","엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.",10075,0,"이벤트 「해피 체인지 엔젤즈」\n엔딩을 보면 특별한 에피소드가 오픈됩니다.",1007501,"이벤트 스페셜 에피소드",5048,2,"2022/10/30 14:59:59","스토리로"
"2022/10/24 15:00:00","엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.",10075,0,"이벤트 「해피 체인지 엔젤즈」에서\n라피가 보낸 편지가 도착했습니다!",1007502,"이벤트 스페셜 에피소드",5048,3,"2022/10/30 14:59:59","스토리로"
"2023/02/13 15:00:00","",10082,5082601,"「다 함께 설음식 파티」에\n단체 사진이 추가되었습니다.",1008201,"단체 사진 추가",1004,5,"2023/02/17 14:59:59","이벤트로"
"2023/02/24 15:00:00","엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.",10083,5056601,"이벤트 「신춘 미식가 프린세스! 한 방에 건 소녀들」 스페셜 에피소드가 오픈되었습니다.",1008301,"이벤트 스페셜 에피소드",5056,4,"2023/03/02 14:59:59","스토리로"
"2023/04/14 15:00:00","엑스트라 스토리에서\n특별한 스토리를 보실 수 있습니다.",10089,5061601,"이벤트 「신데렐라 레슨 화려한 나날은 사과 맛」\n스페셜 에피소드가 오픈되었습니다.",1008901,"이벤트 스페셜 에피소드",5061,3,"2023/04/23 14:59:59","스토리로"
"2023/04/21 15:00:00","",10089,5061602,"이벤트 「신데렐라 레슨 화려한 나날은 사과 맛」\n스페셜 에피소드가 오픈되었습니다.",1008902,"이벤트 스페셜 에피소드",10089,5,"2023/04/23 14:59:59","스토리로"
"2023/04/23 15:00:00","엑스트라 스토리에서\n특별한 스토리를 보실 수 있습니다.",10089,5061601,"이벤트 「신데렐라 레슨 화려한 나날은 사과 맛」\n스페셜 에피소드가 오픈되었습니다.",1008903,"이벤트 스페셜 에피소드",5061,3,"2023/04/29 14:59:59","스토리로"
"2023/06/13 15:00:00","",10092,5092601,"이벤트 「에피소드 오브 파이러츠 해적섬의 저주받은 보물」\n스페셜 에피소드가 오픈되었습니다.",1009201,"이벤트 스페셜 에피소드",10092,5,"2023/06/17 14:59:59","스토리로"
"2023/10/09 15:00:00","",10100,5100601,"이벤트 「마호마호 미라클 저니! 여행하는 소녀와\n땅끝의 커다란 나무」 스페셜 에피소드가 오픈되었습니다.",1010001,"이벤트 스페셜 에피소드",10100,5,"2023/10/13 14:59:59","스토리로"
"2024/02/23 15:00:00","",10109,5082601,"「다 함께 설음식 파티」에\n단체 사진이 추가되었습니다.",1010901,"단체 사진 추가",1004,5,"2024/02/25 14:59:59","이벤트로"
"2024/06/21 15:00:00","",10119,5092601,"이벤트 「에피소드 오브 파이러츠 해적섬의 저주받은 보물」\n스페셜 에피소드가 오픈되었습니다.",1011901,"이벤트 스페셜 에피소드",10119,5,"2024/06/23 14:59:59","스토리로"
"2024/10/23 15:00:00","",10127,5100601,"이벤트 「마호마호 미라클 저니! 여행하는 소녀와\n땅끝의 커다란 나무」 스페셜 에피소드가 오픈되었습니다.",1012701,"이벤트 스페셜 에피소드",10127,5,"2024/10/25 14:59:59","스토리로"
"2023/02/24 15:00:00","엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.",20032,5056601,"이벤트 「신춘 미식가 프린세스! 한 방에 건 소녀들」\n스페셜 에피소드가 오픈되었습니다.",2003201,"이벤트 스페셜 에피소드",5056,4,"2023/03/02 14:59:59","스토리로"
