mode_change_start_time,start_time,end_time,point_per_stamina,resource_id,clan_battle_id,map_bgm,cost_group_id,release_month,last_clan_battle_id,mode_change_end_time,mode_change_remind_time,cost_group_id_s
"2022/05/18 12:00:00","2022/05/25 5:00:00","2022/06/25 4:59:59",1,2,1038,bgm_M97,1,5,1037,"2022/05/23 11:59:59","2022/05/22 11:59:59",2
"2022/06/18 12:00:00","2022/06/25 5:00:00","2022/07/24 4:59:59",1,1,1039,bgm_M104,1,6,1038,"2022/06/23 11:59:59","2022/06/22 11:59:59",2
"2022/07/17 12:00:00","2022/07/24 5:00:00","2022/08/24 4:59:59",1,2,1040,bgm_M115,1,7,1039,"2022/07/22 11:59:59","2022/07/21 11:59:59",2
"2022/08/17 12:00:00","2022/08/24 5:00:00","2022/09/24 4:59:59",1,1,1041,bgm_M119,1,8,1040,"2022/08/22 11:59:59","2022/08/21 11:59:59",2
"2022/09/17 12:00:00","2022/09/24 5:00:00","2022/10/25 4:59:59",1,2,1042,bgm_M132,1,9,1041,"2022/09/22 11:59:59","2022/09/21 11:59:59",2
"2022/10/18 12:00:00","2022/10/25 5:00:00","2022/11/25 4:59:59",1,1,1043,bgm_M139,1,10,1042,"2022/10/23 11:59:59","2022/10/22 11:59:59",2
"2022/11/18 12:00:00","2022/11/25 5:00:00","2022/12/24 4:59:59",1,2,1044,bgm_M166,1,11,1043,"2022/11/23 11:59:59","2022/11/22 11:59:59",2
"2022/12/17 12:00:00","2022/12/24 5:00:00","2023/01/25 4:59:59",1,1,1045,bgm_M175,1,12,1044,"2022/12/22 11:59:59","2022/12/21 11:59:59",2
"2023/01/18 12:00:00","2023/01/25 5:00:00","2023/02/25 4:59:59",1,2,1046,bgm_M181,1,1,1045,"2023/01/23 11:59:59","2023/01/22 11:59:59",2
"2023/02/18 12:00:00","2023/02/25 5:00:00","2023/03/24 4:59:59",1,1,1047,bgm_M186,1,2,1046,"2023/02/23 11:59:59","2023/02/22 11:59:59",2
"2023/03/17 12:00:00","2023/03/24 5:00:00","2023/04/26 4:59:59",1,2,1048,bgm_M205,1,3,1047,"2023/03/22 11:59:59","2023/03/21 11:59:59",2
"2023/04/19 12:00:00","2023/04/26 5:00:00","2023/05/25 4:59:59",1,1,1049,bgm_M90,1,4,1048,"2023/04/24 11:59:59","2023/04/23 11:59:59",2
"2023/05/18 12:00:00","2023/05/25 5:00:00","2023/06/24 4:59:59",1,2,1050,bgm_M97,1,5,1049,"2023/05/23 11:59:59","2023/05/22 11:59:59",2
"2023/06/17 12:00:00","2023/06/24 5:00:00","2023/07/25 4:59:59",1,1,1051,bgm_M104,1,6,1050,"2023/06/22 11:59:59","2023/06/21 11:59:59",2
"2023/07/18 12:00:00","2023/07/25 5:00:00","2023/08/25 4:59:59",1,2,1052,bgm_M115,1,7,1051,"2023/07/23 11:59:59","2023/07/22 11:59:59",2
"2023/08/18 12:00:00","2023/08/25 5:00:00","2023/09/26 4:59:59",1,1,1053,bgm_M119,1,8,1052,"2023/08/23 11:59:59","2023/08/22 11:59:59",2
"2023/09/19 12:00:00","2023/09/26 5:00:00","2023/10/25 4:59:59",1,2,1054,bgm_M132,1,9,1053,"2023/09/24 11:59:59","2023/09/23 11:59:59",2
"2023/10/18 12:00:00","2023/10/25 5:00:00","2023/11/25 4:59:59",1,1,1055,bgm_M139,1,10,1054,"2023/10/23 11:59:59","2023/10/22 11:59:59",2
"2023/11/18 12:00:00","2023/11/25 5:00:00","2023/12/23 4:59:59",1,2,1056,bgm_M166,1,11,1055,"2023/11/23 11:59:59","2023/11/22 11:59:59",2
"2023/12/16 12:00:00","2023/12/23 5:00:00","2024/01/24 4:59:59",1,1,1057,bgm_M175,1,12,1056,"2023/12/21 11:59:59","2023/12/20 11:59:59",2
"2024/01/17 12:00:00","2024/01/24 5:00:00","2024/02/24 4:59:59",1,2,1058,bgm_M181,1,1,1057,"2024/01/22 11:59:59","2024/01/21 11:59:59",2
"2024/02/17 12:00:00","2024/02/24 5:00:00","2024/03/23 4:59:59",1,1,1059,bgm_M186,1,2,1058,"2024/02/22 11:59:59","2024/02/21 11:59:59",2
"2024/03/16 12:00:00","2024/03/23 5:00:00","2024/04/25 4:59:59",1,2,1060,bgm_M205,1,3,1059,"2024/03/21 11:59:59","2024/03/20 11:59:59",2
"2024/04/18 12:00:00","2024/04/25 5:00:00","2024/05/24 4:59:59",1,1,1061,bgm_M90,1,4,1060,"2024/04/23 11:59:59","2024/04/22 11:59:59",2
"2024/05/17 12:00:00","2024/05/24 5:00:00","2024/06/24 4:59:59",1,2,1063,bgm_M97,1,5,1061,"2024/05/22 11:59:59","2024/05/21 11:59:59",2
"2024/06/17 12:00:00","2024/06/24 5:00:00","2024/07/25 4:59:59",1,1,1064,bgm_M104,1,6,1063,"2024/06/22 11:59:59","2024/06/21 11:59:59",2
"2024/07/18 12:00:00","2024/07/25 5:00:00","2024/08/23 4:59:59",1,2,1065,bgm_M115,1,7,1064,"2024/07/23 11:59:59","2024/07/22 11:59:59",2
"2024/08/16 12:00:00","2024/08/23 5:00:00","2024/09/24 4:59:59",1,1,1066,bgm_M119,1,8,1065,"2024/08/21 11:59:59","2024/08/20 11:59:59",2
"2024/09/17 12:00:00","2024/09/24 5:00:00","2024/10/24 4:59:59",1,2,1067,bgm_M132,1,9,1066,"2024/09/22 11:59:59","2024/09/21 11:59:59",2
"2024/10/17 12:00:00","2024/10/24 5:00:00","2024/11/23 4:59:59",1,1,1068,bgm_M139,1,10,1067,"2024/10/22 11:59:59","2024/10/21 11:59:59",2
"2024/11/16 12:00:00","2024/11/23 5:00:00","2024/12/25 4:59:59",1,2,1069,bgm_M166,1,11,1068,"2024/11/21 11:59:59","2024/11/20 11:59:59",2
"2024/12/18 12:00:00","2024/12/25 5:00:00","2025/01/24 4:59:59",1,1,1070,bgm_M175,1,12,1069,"2024/12/23 11:59:59","2024/12/22 11:59:59",2
"2025/01/17 12:00:00","2025/01/24 5:00:00","2025/02/22 4:59:59",1,2,1071,bgm_M181,1,1,1070,"2025/01/22 11:59:59","2025/01/21 11:59:59",2
"2025/02/15 12:00:00","2025/02/22 5:00:00","2025/03/22 4:59:59",1,1,1072,bgm_M186,1,2,1071,"2025/02/20 11:59:59","2025/02/19 11:59:59",2
"2025/03/15 12:00:00","2025/03/22 5:00:00","2025/04/23 4:59:59",1,2,1073,bgm_M205,1,3,1072,"2025/03/20 11:59:59","2025/03/19 11:59:59",2
"2025/04/16 12:00:00","2025/04/23 5:00:00","2025/05/24 4:59:59",1,1,1074,bgm_M90,1,4,1073,"2025/04/21 11:59:59","2025/04/20 11:59:59",2
"2025/05/17 12:00:00","2025/05/24 5:00:00","2025/06/25 4:59:59",1,2,1075,bgm_M97,1,5,1074,"2025/05/22 11:59:59","2025/05/21 11:59:59",2
"2025/06/18 12:00:00","2025/06/25 5:00:00","2025/07/24 4:59:59",1,1,1076,bgm_M104,1,6,1075,"2025/06/23 11:59:59","2025/06/22 11:59:59",2
"2025/07/17 12:00:00","2025/07/24 5:00:00","2025/08/24 4:59:59",1,2,1077,bgm_M115,1,7,1076,"2025/07/22 11:59:59","2025/07/21 11:59:59",2
"2025/08/17 12:00:00","2025/08/24 5:00:00","2025/09/26 4:59:59",1,1,1078,bgm_M119,1,8,1077,"2025/08/22 11:59:59","2025/08/21 11:59:59",2
"2025/09/19 12:00:00","2025/09/26 5:00:00","2025/10/26 4:59:59",1,2,1079,bgm_M132,1,9,1078,"2025/09/24 11:59:59","2025/09/23 11:59:59",2
"2025/10/19 12:00:00","2025/10/26 5:00:00","2025/11/26 4:59:59",1,1,1080,bgm_M139,1,10,1079,"2025/10/24 11:59:59","2025/10/23 11:59:59",2
"2025/11/19 12:00:00","2025/11/26 5:00:00","2025/12/26 4:59:59",1,2,1081,bgm_M166,1,11,1080,"2025/11/24 11:59:59","2025/11/23 11:59:59",2
