face_id,face_change_effect_id,condition_param_1,face_change_time,mode,id,condition_param_2,unit_id,message,cue_name,condition_param_3,reaction_type,change_face_id
10,0,10,1.31,1,11300105,10,1,"동그라미… 동그라미… 전부 동그라미!\n어려운 문제인데 전부 정답이야…!\n놀랐어… 너, 언제\n이렇게 공부한 거야!",vo_minigame_1012_result_1004,2,3001,5
9,0,10,4.93,1,11300106,10,1,"이렇게까지 완벽하게 맞히니\n조금 분하네…!\n그래도 솔직하게 칭찬해 줄게!\n잘했어, 잘했어, 잘했어~!",vo_minigame_1012_result_1005,2,3001,8
5,4,10,2.99,1,11300107,10,1,"대단해… 너, 퍼펙트야!\n이대로 가면 다음 시험에서\n학년 1위 하는 것도 꿈이 아닐지도 몰라!\n기대되네~♪",vo_minigame_1012_result_1006,3,3001,8
8,4,10,8.37,1,11300108,10,1,"만점이야! 후후, 이제 너한테\n가르칠 건 아무것도 없어…!\n반대로 내가 너한테 배우고 싶을\n정도야! …안 그래요? 선생님♪",vo_minigame_1012_result_1007,3,3001,7
7,8,10,5.32,1,11300109,10,1,"전・부・정・답!\n초고난도 문제들뿐인데 대단하네…!\n혹시,\n넌 천재야!?",vo_minigame_1012_result_1008,3,3001,5
7,4,9,4.77,1,11300110,7,1,"오, 꽤 좋은 점수네~!\n나도 가르쳐 준 보람이 있어♪\n자, 더 공부하자!",vo_minigame_1012_result_1009,1,3001,1
8,4,9,2.97,1,11300111,7,1,"응, 괜찮은 느낌의 점수를 받았네!\n이 기세로 다음에는\n만점을 보여 줬으면 좋겠어!",vo_minigame_1012_result_1010,1,3001,7
5,0,9,3.47,1,11300112,7,1,"아~ 아깝다!\n조금만 더 맞혔으면 만점인데!\n다음엔 퍼펙트할 수 있어!\n열심히 하자!",vo_minigame_1012_result_1011,1,3001,1
8,4,9,5.32,1,11300113,7,1,"대단해, 제법 잘했잖아!\n어려운 문제인데 꽤 하네!\n남은 건 노려라, 만점이야!",vo_minigame_1012_result_1012,2,3001,7
8,10,9,6.49,1,11300114,7,1,"응, 꽤 좋은 느낌이야!\n너는 낙제점 받을 걱정은\n전~혀 없을 것 같네♪\n그래도 공부는 그만두게 하지 않겠지만!",vo_minigame_1012_result_1013,2,3001,7
5,0,9,3.56,1,11300115,7,1,"아~ 조금만 더 맞혔으면\n전부 정답이었는데!\n어려운 문제지만 너라면\n다음엔 만점을 노릴 수 있어!",vo_minigame_1012_result_1014,2,3001,1
8,10,9,5.67,1,11300116,7,1,"응, 대부분 정답이야!\n이런 어려운 문제인데,\n대단하잖아!\n역시 넌 여간내기가 아니야!",vo_minigame_1012_result_1015,3,3001,1
7,10,9,2.85,1,11300117,7,1,"착실하게 성장하고 있는 느낌이네?\n너라면 이 어려운 문제도\n언젠가 만점 맞을 수 있을지도…!",vo_minigame_1012_result_1016,3,3001,1
5,0,9,3.88,1,11300118,7,1,"우와~ 아깝네!\n조금만 더 맞혔으면 만점인데?\n뭐, 나라도 고민할 어려운 문제니까\n이 점수는 자랑스러워해도 돼!",vo_minigame_1012_result_1017,3,3001,1
3,0,6,4.12,1,11300119,4,1,"정답률은 반 정도인가~\n나쁘진 않지만, 너는\n이 정도가 아니지?",vo_minigame_1012_result_1018,1,3001,1
9,0,6,4.34,1,11300120,4,1,"음~ 확실히 말하자면\n어중간한 점수네…\n뭐, 괜찮아! 앞으로 팍팍\n점수를 올리자!",vo_minigame_1012_result_1019,1,3001,1
3,0,6,3.15,1,11300121,4,1,"음~ 솔직히 좀 아쉬운 점수야!\n너한테 기대하고 있으니까\n더 열심히 해!",vo_minigame_1012_result_1020,1,3001,1
9,0,6,5.3,1,11300122,4,1,"정답률은 반 정도인가\n어려운 문제니까 어쩔 수 없지…\n그래도 너라면 더 잘할 수 있어!\n왜냐면 내가 옆에 있으니까!",vo_minigame_1012_result_1021,2,3001,1
8,0,6,2.55,1,11300123,4,1,"응, 그럭저럭 잘했네!\n열심히 공부해서\n더 높은 점수를 목표로 하자!",vo_minigame_1012_result_1022,2,3001,1
1,0,6,4.19,1,11300124,4,1,"어려운 문제인데 이 정답률이면\n잘한 편이야!\n하지만 이 정도로\n만족하면 안 된다!?",vo_minigame_1012_result_1023,2,3001,7
7,0,6,3.43,1,11300125,4,1,"어려운 문제인데 반 정도 정답을\n맞혔잖아♪\n이 기세로 더 학력을\n높이자!",vo_minigame_1012_result_1024,3,3001,1
1,0,6,0.0,1,11300126,4,1,"좋아, 평균점이네!\n제대로 공부하고 있는 것 같아서\n안심했어~♪",vo_minigame_1012_result_1025,3,3001,1
8,0,6,3.72,1,11300127,4,1,"어려운 문제들뿐인데 이 정답률은\n대단한 거야!\n뭐, 더 좋은 점수를 받고 싶다면\n공부를 도와줄게!",vo_minigame_1012_result_1026,3,3001,7
3,1,3,3.5,1,11300128,1,1,"그렇구나…\n이건 가르치는 보람이 있네\n가차 없이 단련해 줄 테니까\n각오해!",vo_minigame_1012_result_1027,1,3001,2
4,1,3,3.25,1,11300129,1,1,"잠깐, 너,\n완전 못 맞혔잖아!\n…설마 이게 진심으로 한 거라고\n하진 않겠지~?",vo_minigame_1012_result_1028,1,3001,2
3,0,3,4.62,1,11300130,1,1,"음~…… 대충 찍어도\n이 정도는 맞히는데?\n좀 더 본격적으로\n가르쳐야겠네……!",vo_minigame_1012_result_1029,1,3001,2
9,0,3,4.5,1,11300131,1,1,"…뭐, 뭐어, 이 문제는\n너한테는 너무 어려웠을지도 모르겠네\n조금씩이라도 괜찮으니까\n레벨 업하자!",vo_minigame_1012_result_1030,2,3001,1
3,9,3,0.01,1,11300132,1,1,"음~ 꽤 많이 틀렸네…\n이대로 계속하는 것도 괜찮지만\n간단한 문제부터 다시 해보는 것도\n좋을지도 모른다고~?",vo_minigame_1012_result_1031,2,3001,3
9,9,3,0.01,1,11300133,1,1,"어라라, 너한테는 좀\n너무 어려웠을까…?\n한 번 더 다시 해보자!",vo_minigame_1012_result_1032,2,3001,9
3,6,3,0.01,1,11300134,1,1,"음~ 아쉬운 결과네…\n엄청 어려운 문제니까 어쩔 수 없지만\n무리하지 말고 간단한 문제부터 도전\n해 보는 것도 좋을지도 모른다고?",vo_minigame_1012_result_1033,3,3001,3
3,0,3,2.97,1,11300135,1,1,"정답률이 많이 안 좋네…\n뭐, 어려운 문제니까…!\n그 도전 정신은 칭찬할게!",vo_minigame_1012_result_1034,3,3001,9
3,0,3,3.1,1,11300136,1,1,"간신히 0점은 면했네…\n어려운 문제들뿐이긴 하지만\n좀 더 열심히 하자!",vo_minigame_1012_result_1035,3,3001,1
6,1,0,4.31,1,11300137,0,1,"…너 말이야, 0점은\n오히려 맞기 힘들다고!?\n설마 노리고 한 건\n아니지~!?",vo_minigame_1012_result_1036,1,3001,2
2,1,0,0.1,1,11300138,0,1,"0점이라니…\n너, 장난치는 거야!?\n제대로 안 하면\n전격 마법 먹여 버린다!?",vo_minigame_1012_result_1037,1,3001,2
9,9,0,4.23,1,11300139,0,1,"어쩌면 너는\n공부랑 안 맞는 걸지도 몰라…\n…공부가 전부는 아니야\n다른 데서 열심히 하자!",vo_minigame_1012_result_1038,1,3001,3
3,0,0,4.38,1,11300140,0,1,"화내지 않을 테니까 솔직하게 말해 볼래?\n…장난으로 답을 고른 거지?\n자, 솔직하게\n말・해・보・라・고?",vo_minigame_1012_result_1039,2,3001,2
8,0,0,3.58,1,11300141,0,1,"네 점수는~~…\n…네! 0점~!!\n…아니, 장난하지 마~~!!",vo_minigame_1012_result_1040,2,3001,2
4,1,0,2.02,1,11300142,0,1,"0점이라니 어떻게 된 거야!?\n아니 너, 오히려 대단하네!?\n눈 감고 찍어도\n1점은 맞으니까!",vo_minigame_1012_result_1041,2,3001,2
9,9,0,5.53,1,11300143,0,1,"아차~…… 안타깝게도 0점이야\n좀 너무 어려웠을지도 모르겠네~…\n…뭐, 이런 일도 있지!\n실망하지 않아도 돼!",vo_minigame_1012_result_1042,3,3001,1
3,9,0,4.4,1,11300144,0,1,"꽤 어려운 문제였다고 해도\n0점은 좀 아쉽네…\n그래도 뭐, 반대로 생각하는 거야!\n너한테는 성장할 여지만 있다고!",vo_minigame_1012_result_1043,3,3001,1
3,0,0,5.35,1,11300145,0,1,"0점인가~… 응, 미안…\n위로할 말이 안 떠올라!\n……뭐, 다음이 있으니까\n마음을 다잡는 거야!",vo_minigame_1012_result_1044,3,3001,1
8,0,0,0.0,2,12120101,0,1,"OK！",vo_minigame_1012_correct_132,0,1201,8
7,0,0,0.0,2,12120102,0,1,"맞았어!",vo_minigame_1012_correct_133,0,1201,7
7,0,0,0.0,2,12120103,0,1,"굿!",vo_minigame_1012_correct_134,0,1201,7
5,0,3000,0.0,2,12120201,0,1,"진짜!?",vo_minigame_1012_correct_135,0,1202,5
10,0,3000,0.0,2,12120202,0,1,"헤에~!",vo_minigame_1012_correct_136,0,1202,10
7,0,6000,0.0,2,12120203,3001,1,"그 기세야!",vo_minigame_1012_correct_137,0,1202,7
1,0,-1,0.0,2,12120204,13333,1,"조금 서둘러!",vo_minigame_1012_correct_138,0,1202,1
5,0,0,0.0,2,12120301,0,1,"진짜 대박!",vo_minigame_1012_correct_139,0,1203,5
7,0,0,0.0,2,12120401,0,1,"낙승!",vo_minigame_1012_correct_141,0,1204,7
7,0,0,0.0,2,12120501,0,1,"설욕전이네!",vo_minigame_1012_correct_140,0,1205,7
1,0,-1,0.0,2,12120601,3,1,"좋아!",vo_minigame_1012_correct_142,0,1206,1
2,0,-1,0.0,2,12120701,3,1,"아직이야!",vo_minigame_1012_correct_143,0,1207,2
2,0,0,0.0,2,12130101,0,1,"땡!",vo_minigame_1012_incorrect_127,0,1301,2
2,0,0,0.0,2,12130102,0,1,"안 돼~!",vo_minigame_1012_incorrect_128,0,1301,2
9,0,0,0.0,2,12130103,0,1,"어라…!",vo_minigame_1012_incorrect_129,0,1301,9
3,0,3000,0.0,2,12130201,0,1,"서두르지 마!",vo_minigame_1012_incorrect_130,0,1302,3
5,0,3000,0.0,2,12130202,0,1,"천천히!",vo_minigame_1012_incorrect_131,0,1302,5
2,0,6000,0.0,2,12130203,3001,1,"심호흡!",vo_minigame_1012_incorrect_132,0,1302,2
3,0,-1,0.0,2,12130204,20000,1,"느리네…!",vo_minigame_1012_incorrect_133,0,1302,3
5,0,0,0.0,2,12130301,0,1,"어려워!",vo_minigame_1012_incorrect_134,0,1303,5
6,0,0,0.0,2,12130401,0,1,"잊어버렸어?",vo_minigame_1012_incorrect_135,0,1304,6
2,0,0,0.0,2,12130501,0,1,"다음엔 할 수 있어!",vo_minigame_1012_incorrect_136,0,1305,2
2,3,30000,0.01,2,12170101,20000,1,"라스트 스퍼트!",vo_minigame_1012_time_100,0,1701,2
1,3,30000,0.01,2,12170102,20000,1,"이제 곧 끝이야!",vo_minigame_1012_time_101,0,1701,1
7,10,-1,3.74,2,12300101,20,1,"네, 잘했습니다!\n기초는 이제 완벽하네!\n다음에는 더 어려운 문제에도\n도전해 봐!",vo_minigame_1012_result_1045,1,3001,1
1,0,-1,3.85,2,12300102,20,1,"뭐야 너, 움직이기 시작한 펜이\n멈추지 않는다는 느낌?\n나 참, 심플하게 대단하잖아\n참 잘했어요 찍어 줄게!",vo_minigame_1012_result_1046,1,3001,9
5,8,-1,0.01,2,12300103,20,1,"굉장한 점수네…!\n너, 공부 안 한다고 말하면서\n사실은 엄청 열심히 하는\n그런 거지!?",vo_minigame_1012_result_1047,1,3001,5
8,4,-1,2.86,2,12300104,20,1,"공부한 성과가\n제대로 나왔잖아!\n나도 네 선생님으로서\n뿌듯하네~♪",vo_minigame_1012_result_1048,2,3001,7
5,9,-1,2.02,2,12300105,20,1,"오케이! 이제 충분해!\n이보다 더 잘하면\n내가 가르칠 필요가 없어져!",vo_minigame_1012_result_1049,2,3001,3
5,0,-1,4.46,2,12300106,20,1,"어려운 문제를 선택했다고 생각했는데\n정답 수가 엄청나네…!\n그래도 아직 위가 있어…\n다음은 최고 난도에 도전하는 거야!",vo_minigame_1012_result_1050,2,3001,1
5,7,-1,6.85,2,12300107,20,1,"대단하다고는 생각했지만,\n넌 공부도 완벽한 거야…?\n그야 모두 너한테 반하…\n아니, 아, 아무것도 아니야!!",vo_minigame_1012_result_1051,3,3001,4
5,0,-1,3.79,2,12300108,20,1,"이 문제, 나도 고민하는\n초고난도인데…\n후훗, 칭찬밖에 안 나오네!\n참 잘했습니다!",vo_minigame_1012_result_1052,3,3001,9
4,7,-1,0.01,2,12300109,20,1,"딱히 얼굴 빨개지지 않았거든!\n머리 좋은 사람을 좋아한다든가…\n멋있다든가…\n…그런 생각 안 한다고!",vo_minigame_1012_result_1053,3,3001,4
5,0,-1,0.0,2,12300110,20,1,"스피드도 정확도도 완벽…\n두말할 필요 없는 만점이야!\n너, 장래에 터무니없는 사람이\n되는 거 아냐!?",vo_minigame_1012_result_1054,1,3001,5
5,0,-1,0.0,2,12300112,20,1,"스피드도 정확도도 완벽…\n두말할 필요 없는 만점이야!\n너, 장래에 터무니없는 사람이\n되는 거 아냐!?",vo_minigame_1012_result_1054,2,3001,5
5,0,-1,0.0,2,12300114,20,1,"스피드도 정확도도 완벽…\n두말할 필요 없는 만점이야!\n너, 장래에 터무니없는 사람이\n되는 거 아냐!?",vo_minigame_1012_result_1054,3,3001,5
5,10,19,3.0,2,12300116,15,1,"오오~ 꽤 많이 맞혔네!\n이 기세로 더 굉장한 점수를\n노리자!",vo_minigame_1012_result_1056,1,3001,7
8,10,19,0.01,2,12300117,15,1,"응, 완전 좋은 느낌이야!\n제대로 공부하고 있는 것 같아서\n감탄했어♪",vo_minigame_1012_result_1057,1,3001,8
5,0,19,4.01,2,12300118,15,1,"어, 이렇게 좋은 점수를 받았는데\n아직 만족 못 한 거야?\n뭐야, 그 향상심은…\n좋은데!",vo_minigame_1012_result_1058,1,3001,8
8,10,19,2.83,2,12300119,15,1,"스피드도 정답 수도 좋은 느낌이야!\n있잖아, 이 기세로\n정점을 노려 볼래?",vo_minigame_1012_result_1059,2,3001,7
10,0,19,0.0,2,12300120,15,1,"이 난이도에서도\n술술 풀다니…\n너는\n진짜 대단한 녀석이네…!",vo_minigame_1012_result_1060,2,3001,10
8,4,19,3.66,2,12300121,15,1,"이렇게 정답을 맞힐 수 있으면\n공부도 즐겁지♪\n자, 계속 이어서 하자~!",vo_minigame_1012_result_1061,2,3001,7
5,0,19,3.28,2,12300122,15,1,"너, 이 성적\n요행은 아니겠지…!\n이만큼 할 수 있으면\n대단한 거야!",vo_minigame_1012_result_1062,3,3001,8
8,0,19,2.7,2,12300123,15,1,"대단해! 진짜 좋은 성적이야!\n이 어려운 문제도 너한테 걸리면\n식은 죽 먹기란 거야?",vo_minigame_1012_result_1063,3,3001,1
5,9,19,3.98,2,12300124,15,1,"너… 어쩌면\n나보다 점수 좋을지도?\n나, 나도 너를 본받아서\n공부해야겠네…!",vo_minigame_1012_result_1064,3,3001,9
7,0,14,2.51,2,12300131,10,1,"응, 꽤 좋은 점수야!\n하지만 아직 더 열심히 할 수 있지?\n자, 다음 가자!",vo_minigame_1012_result_1067,1,3001,1
1,0,14,4.16,2,12300132,10,1,"충분히 우수한 성적이지만\n너라면 더 할 수 있어!\n자, 열심히 공부하자!",vo_minigame_1012_result_1068,1,3001,7
8,0,14,2.07,2,12300133,10,1,"응, 좋은 느낌이네!\n이 기세로 조금씩,\n정답 수를 늘려 가자!",vo_minigame_1012_result_1069,1,3001,7
8,0,14,3.51,2,12300134,10,1,"어려운 문제들뿐인데\n꽤 좋은 느낌이잖아!\n잘하고 있으니까\n자신감 가져도 돼!",vo_minigame_1012_result_1070,2,3001,1
1,0,14,0.0,2,12300135,10,1,"어려운 문제에서도 기초는 중요해!\n이 기세로 계속\n점수를 올리자!",vo_minigame_1012_result_1071,2,3001,1
1,0,14,4.3,2,12300136,10,1,"10문제 이상 맞혔네!\n어, 아직 부족해?\n후후, 그럼 더 위를\n노려 볼래?",vo_minigame_1012_result_1072,2,3001,7
8,0,14,4.47,2,12300137,10,1,"응, 이 어려운 문제에서 이 점수는\n지나치게 충분한 성과야!\n뭐, 너라면 더 좋은 점수를\n노리겠지만♪",vo_minigame_1012_result_1073,3,3001,7
8,0,14,3.68,2,12300138,10,1,"자, 수고했어~\n꽤 좋은 점수잖아\n…나도 공부해야겠네!",vo_minigame_1012_result_1074,3,3001,9
5,0,14,3.34,2,12300139,10,1,"오오~ 10문제 이상\n맞혔잖아!\n넌 역시\n여간내기가 아니네~",vo_minigame_1012_result_1075,3,3001,1
1,0,14,6.58,2,12300141,10,1,"응, 정답률은 나무랄 데 없네!\n남은 건 더 빨리 풀 수 있으면\n더 높은 점수를 받게 될 거야!\n이 기세로 열심히 하자!",vo_minigame_1012_result_1077,1,3001,8
1,0,14,6.58,2,12300143,10,1,"응, 정답률은 나무랄 데 없네!\n남은 건 더 빨리 풀 수 있으면\n더 높은 점수를 받게 될 거야!\n이 기세로 열심히 하자!",vo_minigame_1012_result_1077,2,3001,8
1,0,14,6.58,2,12300145,10,1,"응, 정답률은 나무랄 데 없네!\n남은 건 더 빨리 풀 수 있으면\n더 높은 점수를 받게 될 거야!\n이 기세로 열심히 하자!",vo_minigame_1012_result_1077,3,3001,8
1,0,9,4.24,2,12300146,5,1,"흐응~ 그럭저럭인 결과야\n나쁘진 않지만… 너한테는\n더 많이 기대하고 있어~",vo_minigame_1012_result_1078,1,3001,7
7,0,9,4.74,2,12300147,5,1,"응, 열심히 했지만…\n솔직히 더 많이 맞힐 수 있을지도 모른다고~?\n이런 건 너한테는 통과점이야!\n더 좋은 점수를 노려 보지 않을래?",vo_minigame_1012_result_1079,1,3001,1
1,0,9,0.0,2,12300148,5,1,"그럭저럭인 점수지만,\n네가 볼 땐 느낌이 어땠어?\n안 좋다고 생각했으면,\n아직 더 성장할 여지는 있어!",vo_minigame_1012_result_1080,1,3001,1
8,0,9,2.21,2,12300149,5,1,"응, 괜찮은 결과네!\n그래도 너는 더 좋은 점수를\n받을 수 있을 거야!\n더 열심히 하자!",vo_minigame_1012_result_1081,2,3001,1
3,0,9,2.46,2,12300150,5,1,"음~ 확실히 말해 미묘하네!\n뭐, 어려운 문제고,\n공부하면\n점수는 오를 거야!",vo_minigame_1012_result_1082,2,3001,1
3,0,9,2.94,2,12300151,5,1,"음~…\n10점엔 못 닿았나~\n다음엔 10점 넘는 걸 노리고\n열심히 하지 않을래?",vo_minigame_1012_result_1083,2,3001,1
7,0,9,4.19,2,12300152,5,1,"자, 수고했어~\n점수는 그럭저럭이네!\n뭐, 엄청 어려운 문제였고, 열심히 했어",vo_minigame_1012_result_1084,3,3001,1
1,0,9,0.0,2,12300153,5,1,"응, 상당히 어려운 문제인데\n마지막까지 풀었네\n다음엔 더 좋은 점수를 노려 볼래?",vo_minigame_1012_result_1085,3,3001,1
3,0,9,2.63,2,12300154,5,1,"조금 실수가 많았을지도~\n그래도 틀린 건 복습해서\n다음엔 맞히자~!",vo_minigame_1012_result_1086,3,3001,1
3,0,4,5.53,2,12300155,1,1,"어라… 별로 좋지 않은 점수네~\n어떻게 된 거야, 컨디션 안 좋았어?\n다음엔 더 열심히 하자",vo_minigame_1012_result_1087,1,3001,1
3,9,4,0.01,2,12300156,1,1,"음~… 정답 수는\n아쉽네~\n좀 더 공부 시간을\n늘릴까?",vo_minigame_1012_result_1088,1,3001,3
3,3,4,4.15,2,12300157,1,1,"음~… 너라면 좀 더\n좋은 점수를 받을 수 있잖아~?\n더 열심히 해\n기대하고 있으니까!",vo_minigame_1012_result_1089,1,3001,1
9,9,4,0.01,2,12300158,1,1,"음~ 지금의 너한테\n이 문제는 어려웠던 걸까…\n난도를 낮춰서 도전하는 것도\n괜찮을지도~?",vo_minigame_1012_result_1090,2,3001,9
3,0,4,5.37,2,12300159,1,1,"별로 결과가 좋지 않네~\n어려운 문제니 어쩔 수 없지만\n다음엔 더 열심히 하면 좋겠어!",vo_minigame_1012_result_1091,2,3001,1
3,0,4,1.44,2,12300160,1,1,"그렇구나…\n조금 안 맞는 문제가 많았어?\n한 번 더 도전\n해 볼까~",vo_minigame_1012_result_1092,2,3001,1
3,0,4,0.0,2,12300161,1,1,"으음~… 문제가 너무 어려웠어?\n무리해서 어려운 문제를 계속 푸는 것보다\n난도를 낮추는 게\n공부 효율이 더 좋을지도 모른다고~?",vo_minigame_1012_result_1093,3,3001,3
3,3,4,2.91,2,12300162,1,1,"…점수를 별로 못 받았네\n이건 나한테도 어려운 문제니까\n그렇게 실망하지 않아도 돼!\n다음에 열심히 하자!",vo_minigame_1012_result_1094,3,3001,9
5,0,4,2.61,2,12300163,1,1,"미안, 너무 어려웠어?\n한 번 더 도전하는 것도 좋고,\n난도를 낮추는 것도 좋고,\n네가 의욕이 있다면 같이해 줄게!",vo_minigame_1012_result_1095,3,3001,1
4,1,0,3.63,2,12300164,0,1,"잠깐 너…\n의욕 없지~!?\n다음에도 이런 점수 받으면\화낸다!",vo_minigame_1012_result_1096,1,3001,2
6,1,0,4.16,2,12300165,0,1,"하아… 자기가 몇 점 받았는지는\n알고 있겠지~…?\n0점이야, 0점! 얕보는 거야!?",vo_minigame_1012_result_1097,1,3001,2
3,6,0,0.01,2,12300166,0,1,"으으~ 머리 아파…\n네 탓이야!\n0점이 뭐야!\n하아, 이대로는 낙제점이야~…",vo_minigame_1012_result_1098,1,3001,3
6,0,0,5.75,2,12300167,0,1,"저기, 너 진심으로 한 거야?\n설마 적당히 하는 건 아니겠지\n…알았어\n한 번 더 도전하는 거야!",vo_minigame_1012_result_1099,2,3001,2
4,1,0,5.64,2,12300168,0,1,"너… 너, 0점이야, 0점…!\n내가 가르치는 방법이 잘못됐나…?\n…불타오르는데!\n반드시 네 학력을 올려 주겠어!",vo_minigame_1012_result_1100,2,3001,2
8,8,0,5.73,2,12300169,0,1,"잠깐 기다려, 채점 잘못한 것 같아…\n…아니 제대로 했네. 자, 0점\n…어, 0점!?\n웃기지 마~~!",vo_minigame_1012_result_1101,2,3001,4
5,1,0,5.32,2,12300170,0,1,"어라라… 0점이야\n뭐, 어려운 문제였으니까…\n…아니 그래도 0점은 아니지!\n한 문제 정도는 맞히라고!",vo_minigame_1012_result_1102,3,3001,3
3,9,0,2.37,2,12300171,0,1,"안타깝지만 0점이야\n뭐, 뭐어, 긍정적으로 생각하면\n지금이 바닥이야! 밑바닥!\n남은 건 올라가는 것뿐이야!",vo_minigame_1012_result_1103,3,3001,9
9,3,0,4.25,2,12300172,0,1,"…상당히 결과가 안 좋네\n일단 휴식할까?\n재충전해서 생각을 전환하고\n다시 한번 열심히 하자!",vo_minigame_1012_result_1104,3,3001,1
7,0,0,0.0,3,13100101,0,1,"자, 공부 시작한다",vo_minigame_1012_gamestart_100,0,1001,7
1,0,0,0.0,3,13100102,0,1,"좋아, 공부한 성과를 봐 줄게!",vo_minigame_1012_gamestart_101,0,1001,1
1,0,0,1.82,3,13100103,0,1,"그럼 시험 칠게. 자, 교과서 집어넣어!",vo_minigame_1012_gamestart_102,0,1001,7
8,4,-1,0.01,3,13100201,3,1,"의욕이 넘치잖아!",vo_minigame_1012_gamestart_103,0,1002,8
1,0,-1,0.0,3,13100202,3,1,"좋아, 그럼 한 번 더 하는 거야!",vo_minigame_1012_gamestart_104,0,1002,1
0,0,1,0.0,3,13100301,1,1,"평범한 난이도야!",vo_minigame_1012_gamestart_105,0,1003,0
7,0,1,0.0,3,13100302,1,1,"우선 기본부터네!",vo_minigame_1012_gamestart_106,0,1003,7
10,0,2,0.0,3,13100303,2,1,"어려운 문제에 도전하는구나!",vo_minigame_1012_gamestart_107,0,1003,10
1,0,2,0.67,3,13100304,2,1,"좋아, 너라면 할 수 있어!",vo_minigame_1012_gamestart_108,0,1003,8
5,0,3,0.0,3,13100305,3,1,"나도 고전하는 어려운 문제들이야…!",vo_minigame_1012_gamestart_109,0,1003,5
2,0,3,0.0,3,13100306,3,1,"엄청 어렵지만 힘내!",vo_minigame_1012_gamestart_110,0,1003,2
7,0,0,0.0,3,13100401,0,1,"쇠뿔도 단김에 빼라,\n…잖아♪",vo_minigame_1012_gamestart_111,0,1004,7
1,0,0,0.0,3,13100402,0,1,"좋아, 한 번 더 하는 거야!",vo_minigame_1012_gamestart_112,0,1004,1
9,0,0,0.0,3,13100501,0,1,"스즈나도 제대로 공부하는 것 같네~",vo_minigame_1012_gamestart_113,0,1005,9
3,0,0,0.0,3,13100502,0,1,"네가 스즈나의\n선생님? …흐~응",vo_minigame_1012_gamestart_114,0,1005,3
1,0,0,0.0,3,13110101,0,1,"문제!",vo_minigame_1012_start_100,0,1101,1
1,0,0,0.0,3,13110102,0,1,"간다!",vo_minigame_1012_start_101,0,1101,1
