description,quest_id,id,effect_name,icon_name
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92407130,36,"TP 감소 컷",boss_tp_down_cut
"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다.",92407140,37,"불 속성 보너스 (특대) 증가",12
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92407140,38,"데미지 감쇠",18
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92407140,39,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92407140,40,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92407140,41,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92407140,42,"HP 흡수 감소",9
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92407140,43,"TP 감소 컷",boss_tp_down_cut
"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다.",92407210,44,"불 속성 보너스 (특대) 증가",12
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92407210,45,"데미지 감쇠",18
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92407210,46,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92407210,47,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92407210,48,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92407210,49,"HP 흡수 감소",9
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92407210,50,"TP 감소 컷",boss_tp_down_cut
"전투 시작 시 모든 몬스터의 TP를 (특대) 회복한다.",92407210,51,"TP 회복",energy_recover
"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다.",92407220,52,"불 속성 보너스 (특대) 증가",12
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92407220,53,"데미지 감쇠",18
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92407220,54,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92407220,55,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92407220,56,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92407220,57,"HP 흡수 감소",9
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92407220,58,"TP 감소 컷",boss_tp_down_cut
"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다.",92407230,59,"불 속성 보너스 (특대) 증가",12
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92407230,60,"데미지 감쇠",18
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92407230,61,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92407230,62,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92407230,63,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92407230,64,"HP 흡수 감소",9
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92407230,65,"TP 감소 컷",boss_tp_down_cut
"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다.",92407240,66,"불 속성 보너스 (특대) 증가",12
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92407240,67,"데미지 감쇠",18
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92407240,68,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92407240,69,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92407240,70,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92407240,71,"HP 흡수 감소",9
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92407240,72,"TP 감소 컷",boss_tp_down_cut
"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다.",92407310,73,"불 속성 보너스 (특대) 증가",12
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92407310,74,"데미지 감쇠",18
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92407310,75,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92407310,76,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92407310,77,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92407310,78,"HP 흡수 감소",9
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92407310,79,"TP 감소 컷",boss_tp_down_cut
"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다.",92407320,80,"불 속성 보너스 (특대) 증가",12
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92407320,81,"데미지 감쇠",18
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92407320,82,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92407320,83,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92407320,84,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92407320,85,"HP 흡수 감소",9
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92407320,86,"TP 감소 컷",boss_tp_down_cut
"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다.",92407330,87,"불 속성 보너스 (특대) 증가",12
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92407330,88,"데미지 감쇠",18
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92407330,89,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92407330,90,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92407330,91,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92407330,92,"HP 흡수 감소",9
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92407330,93,"TP 감소 컷",boss_tp_down_cut
"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다.",92407340,94,"불 속성 보너스 (특대) 증가",12
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92407340,95,"데미지 감쇠",18
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92407340,96,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92407340,97,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92407340,98,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92407340,99,"HP 흡수 감소",9
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92407340,100,"TP 감소 컷",boss_tp_down_cut
"물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다.",92408010,101,"물 속성 보너스 (특대) 증가",13
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408010,102,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92408010,103,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92408010,104,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92408010,105,"HP 흡수 감소",9
"물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다.",92408020,106,"물 속성 보너스 (특대) 증가",13
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408020,107,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92408020,108,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92408020,109,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92408020,110,"HP 흡수 감소",9
"물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다.",92408030,111,"물 속성 보너스 (특대) 증가",13
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408030,112,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92408030,113,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92408030,114,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92408030,115,"HP 흡수 감소",9
"물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다.",92408110,116,"물 속성 보너스 (특대) 증가",13
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408110,117,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92408110,118,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92408110,119,"TP 감소 컷",boss_tp_down_cut
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92408110,120,"데미지 감쇠",18
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92408110,121,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92408110,122,"HP 흡수 감소",9
"물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다.",92408120,123,"물 속성 보너스 (특대) 증가",13
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408120,124,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92408120,125,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92408120,126,"TP 감소 컷",boss_tp_down_cut
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92408120,127,"데미지 감쇠",18
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92408120,128,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92408120,129,"HP 흡수 감소",9
"물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다.",92408130,130,"물 속성 보너스 (특대) 증가",13
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408130,131,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92408130,132,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92408130,133,"TP 감소 컷",boss_tp_down_cut
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92408130,134,"데미지 감쇠",18
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92408130,135,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92408130,136,"HP 흡수 감소",9
"물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다.",92408140,137,"물 속성 보너스 (특대) 증가",13
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408140,138,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92408140,139,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92408140,140,"TP 감소 컷",boss_tp_down_cut
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92408140,141,"데미지 감쇠",18
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92408140,142,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92408140,143,"HP 흡수 감소",9
"물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다.",92408210,144,"물 속성 보너스 (특대) 증가",13
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408210,145,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92408210,146,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92408210,147,"TP 감소 컷",boss_tp_down_cut
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92408210,148,"데미지 감쇠",18
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92408210,149,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92408210,150,"HP 흡수 감소",9
"물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다.",92408220,151,"물 속성 보너스 (특대) 증가",13
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408220,152,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92408220,153,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92408220,154,"TP 감소 컷",boss_tp_down_cut
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92408220,155,"데미지 감쇠",18
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92408220,156,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92408220,157,"HP 흡수 감소",9
"물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다.",92408230,158,"물 속성 보너스 (특대) 증가",13
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408230,159,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92408230,160,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92408230,161,"TP 감소 컷",boss_tp_down_cut
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92408230,162,"데미지 감쇠",18
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92408230,163,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92408230,164,"HP 흡수 감소",9
"물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다.",92408240,165,"물 속성 보너스 (특대) 증가",13
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408240,166,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92408240,167,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit
"전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다.",92408240,168,"TP 감소 컷",boss_tp_down_cut
"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다",92408240,169,"데미지 감쇠",18
"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다.",92408240,170,"TP 상승 최대치 부여",17
"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92408240,171,"HP 흡수 감소",9
"물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다.",92408310,172,"물 속성 보너스 (특대) 증가",13
"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408310,173,"물리 방어력(감소 불가) 증가",boss_def_lower_limit
